Time,THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.158189E+04,2.782774E+03,1.629945E+00,2.146925E-01,2.996548E+04,2.702711E+04,1.546522E+00,2.085374E+00,6.484355E+04,3.000183E+04,3.345869E+00,2.315153E+00,7.921445E+03,0.000000E+00,4.087535E-01,0.000000E+00,7.156446E+03,0.000000E+00,3.692787E-01,0.000000E+00,1.297992E+04,5.774246E+02,6.696535E-01,4.454955E-02
00:20:00,3.158192E+04,2.911360E+03,1.629947E+00,2.246135E-01,2.996556E+04,2.704323E+04,1.546526E+00,2.086600E+00,6.484370E+04,3.000950E+04,3.345876E+00,2.315742E+00,7.921448E+03,0.000000E+00,4.087536E-01,0.000000E+00,7.156455E+03,0.000000E+00,3.692791E-01,0.000000E+00,1.297994E+04,6.284634E+02,6.696549E-01,4.848760E-02
00:30:00,3.158194E+04,3.075029E+03,1.629948E+00,2.372411E-01,2.996564E+04,2.705312E+04,1.546531E+00,2.087345E+00,6.484384E+04,3.000287E+04,3.345883E+00,2.315224E+00,7.921450E+03,0.000000E+00,4.087537E-01,0.000000E+00,7.156463E+03,0.000000E+00,3.692795E-01,0.000000E+00,1.297997E+04,6.567587E+02,6.696562E-01,5.067103E-02
00:40:00,3.158196E+04,3.153706E+03,1.629949E+00,2.433116E-01,2.996572E+04,2.706054E+04,1.546535E+00,2.087899E+00,6.484397E+04,2.998655E+04,3.345890E+00,2.313958E+00,7.921452E+03,0.000000E+00,4.087538E-01,0.000000E+00,7.156471E+03,0.000000E+00,3.692799E-01,0.000000E+00,1.297999E+04,6.798036E+02,6.696574E-01,5.244931E-02
00:50:00,3.158198E+04,3.211431E+03,1.629950E+00,2.477655E-01,2.996580E+04,2.706603E+04,1.546538E+00,2.088307E+00,6.484410E+04,2.996354E+04,3.345897E+00,2.312175E+00,7.921454E+03,0.000000E+00,4.087539E-01,0.000000E+00,7.156479E+03,0.000000E+00,3.692803E-01,0.000000E+00,1.298002E+04,6.988494E+02,6.696586E-01,5.391902E-02
01:00:00,3.158200E+04,3.252973E+03,1.629951E+00,2.509707E-01,2.996587E+04,2.707001E+04,1.546542E+00,2.088600E+00,6.484423E+04,2.993525E+04,3.345903E+00,2.309985E+00,7.921455E+03,0.000000E+00,4.087540E-01,0.000000E+00,7.156486E+03,0.000000E+00,3.692807E-01,0.000000E+00,1.298004E+04,7.146520E+02,6.696597E-01,5.513849E-02
01:10:00,3.158203E+04,3.299668E+03,1.629952E+00,2.545733E-01,2.996596E+04,2.708903E+04,1.546546E+00,2.090053E+00,6.484437E+04,2.991922E+04,3.345911E+00,2.308740E+00,7.921458E+03,0.000000E+00,4.087541E-01,0.000000E+00,7.156495E+03,0.000000E+00,3.692812E-01,0.000000E+00,1.298006E+04,7.292140E+02,6.696609E-01,5.626221E-02
01:20:00,3.158205E+04,3.337832E+03,1.629953E+00,2.575178E-01,2.996604E+04,2.710786E+04,1.546551E+00,2.091493E+00,6.484452E+04,2.990175E+04,3.345918E+00,2.307383E+00,7.921460E+03,0.000000E+00,4.087543E-01,0.000000E+00,7.156504E+03,0.000000E+00,3.692816E-01,0.000000E+00,1.298009E+04,7.420765E+02,6.696622E-01,5.725481E-02
01:30:00,3.158208E+04,3.368644E+03,1.629955E+00,2.598950E-01,2.996612E+04,2.712607E+04,1.546555E+00,2.092886E+00,6.484466E+04,2.988322E+04,3.345926E+00,2.305946E+00,7.921463E+03,0.000000E+00,4.087544E-01,0.000000E+00,7.156513E+03,0.000000E+00,3.692821E-01,0.000000E+00,1.298011E+04,7.536149E+02,6.696633E-01,5.814521E-02
01:40:00,3.158210E+04,3.393390E+03,1.629956E+00,2.618042E-01,2.996620E+04,2.714370E+04,1.546559E+00,2.094237E+00,6.484479E+04,2.986401E+04,3.345933E+00,2.304459E+00,7.921465E+03,0.000000E+00,4.087545E-01,0.000000E+00,7.156522E+03,5.039351E+00,3.692825E-01,3.888838E-04,1.298013E+04,7.640482E+02,6.696645E-01,5.895035E-02
