Time,THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.347890E+04,2.423542E+03,1.211767E+00,1.874007E-01,2.045223E+04,2.531344E+04,1.055558E+00,1.953321E+00,4.123459E+04,2.980109E+04,2.127830E+00,2.300042E+00,4.686565E+03,0.000000E+00,2.418570E-01,0.000000E+00,3.775260E+03,0.000000E+00,1.948285E-01,0.000000E+00,7.262311E+03,8.009915E+02,3.747372E-01,6.180044E-02
00:30:00,2.347893E+04,2.667908E+03,1.211768E+00,2.058363E-01,2.045231E+04,2.536997E+04,1.055562E+00,1.957651E+00,4.123472E+04,2.970028E+04,2.127836E+00,2.292273E+00,4.686567E+03,0.000000E+00,2.418571E-01,0.000000E+00,3.775266E+03,0.000000E+00,1.948288E-01,0.000000E+00,7.262336E+03,7.896955E+02,3.747385E-01,6.092984E-02
00:45:00,2.347895E+04,2.707830E+03,1.211769E+00,2.089133E-01,2.045239E+04,2.541358E+04,1.055566E+00,1.960977E+00,4.123484E+04,2.958642E+04,2.127842E+00,2.283478E+00,4.686568E+03,0.000000E+00,2.418572E-01,0.000000E+00,3.775271E+03,0.000000E+00,1.948291E-01,0.000000E+00,7.262359E+03,8.203272E+02,3.747397E-01,6.329375E-02
01:00:00,2.347896E+04,2.870927E+03,1.211770E+00,2.214968E-01,2.045245E+04,2.545046E+04,1.055570E+00,1.963787E+00,4.123495E+04,2.946569E+04,2.127848E+00,2.274144E+00,4.686569E+03,0.000000E+00,2.418572E-01,0.000000E+00,3.775277E+03,0.000000E+00,1.948294E-01,0.000000E+00,7.262381E+03,8.257803E+02,3.747408E-01,6.371521E-02
01:15:00,2.347901E+04,2.937233E+03,1.211772E+00,2.266132E-01,2.045256E+04,2.550754E+04,1.055575E+00,1.968160E+00,4.123511E+04,2.936700E+04,2.127856E+00,2.266510E+00,4.686573E+03,0.000000E+00,2.418574E-01,0.000000E+00,3.775286E+03,0.000000E+00,1.948299E-01,0.000000E+00,7.262406E+03,8.289103E+02,3.747421E-01,6.395714E-02
01:30:00,2.347905E+04,2.982447E+03,1.211774E+00,2.301017E-01,2.045267E+04,2.556280E+04,1.055581E+00,1.972396E+00,4.123525E+04,2.927104E+04,2.127864E+00,2.259089E+00,4.686576E+03,0.000000E+00,2.418576E-01,0.000000E+00,3.775296E+03,0.000000E+00,1.948304E-01,0.000000E+00,7.262430E+03,8.291669E+02,3.747433E-01,6.397725E-02
01:45:00,2.347909E+04,3.012728E+03,1.211776E+00,2.324382E-01,2.045277E+04,2.561619E+04,1.055586E+00,1.976493E+00,4.123540E+04,2.917950E+04,2.127871E+00,2.252011E+00,4.686580E+03,0.000000E+00,2.418577E-01,0.000000E+00,3.775305E+03,0.000000E+00,1.948308E-01,0.000000E+00,7.262452E+03,8.277245E+02,3.747445E-01,6.386619E-02
02:00:00,2.347912E+04,3.033191E+03,1.211778E+00,2.340170E-01,2.045286E+04,2.566836E+04,1.055590E+00,1.980501E+00,4.123553E+04,2.909451E+04,2.127878E+00,2.245445E+00,4.686582E+03,0.000000E+00,2.418579E-01,0.000000E+00,3.775314E+03,0.000000E+00,1.948313E-01,0.000000E+00,7.262474E+03,8.253729E+02,3.747456E-01,6.368491E-02
02:15:00,2.347916E+04,3.044514E+03,1.211779E+00,2.348906E-01,2.045295E+04,2.571766E+04,1.055595E+00,1.984293E+00,4.123566E+04,2.900880E+04,2.127885E+00,2.238828E+00,4.686585E+03,0.000000E+00,2.418580E-01,0.000000E+00,3.775322E+03,0.000000E+00,1.948317E-01,0.000000E+00,7.262494E+03,8.213851E+02,3.747466E-01,6.337734E-02
02:30:00,2.347918E+04,3.048912E+03,1.211781E+00,2.352299E-01,2.045304E+04,2.576437E+04,1.055599E+00,1.987887E+00,4.123579E+04,2.892216E+04,2.127891E+00,2.232138E+00,4.686588E+03,0.000000E+00,2.418582E-01,0.000000E+00,3.775331E+03,0.000000E+00,1.948322E-01,0.000000E+00,7.262514E+03,8.162464E+02,3.747477E-01,6.298092E-02
