Time,THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN_JUAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.026931E+04,6.896438E+03,1.562224E+00,5.321168E-01,2.924809E+04,2.907733E+04,1.509518E+00,2.243969E+00,5.161459E+04,3.488741E+04,2.663451E+00,2.693146E+00,5.190170E+03,0.000000E+00,2.678456E-01,0.000000E+00,4.470040E+03,3.805084E+02,2.306829E-01,2.941517E-02,8.247408E+03,1.861633E+03,4.255664E-01,1.436632E-01
00:30:00,3.026932E+04,6.890487E+03,1.562225E+00,5.316599E-01,2.924816E+04,2.909953E+04,1.509522E+00,2.245631E+00,5.161474E+04,3.478152E+04,2.663459E+00,2.684990E+00,5.190173E+03,0.000000E+00,2.678458E-01,0.000000E+00,4.470048E+03,4.586498E+02,2.306833E-01,3.538641E-02,8.247436E+03,1.892862E+03,4.255679E-01,1.460773E-01
00:45:00,3.026933E+04,6.953059E+03,1.562225E+00,5.364875E-01,2.924823E+04,2.910655E+04,1.509525E+00,2.246110E+00,5.161488E+04,3.465134E+04,2.663466E+00,2.674932E+00,5.190175E+03,0.000000E+00,2.678459E-01,0.000000E+00,4.470055E+03,4.876984E+02,2.306837E-01,3.762766E-02,8.247463E+03,1.906489E+03,4.255693E-01,1.471330E-01
01:00:00,3.026934E+04,6.933891E+03,1.562226E+00,5.350085E-01,2.924829E+04,2.910478E+04,1.509529E+00,2.245917E+00,5.161502E+04,3.451017E+04,2.663473E+00,2.664019E+00,5.190176E+03,0.000000E+00,2.678459E-01,0.000000E+00,4.470062E+03,5.495031E+02,2.306840E-01,4.239654E-02,8.247488E+03,1.914844E+03,4.255705E-01,1.477808E-01
01:15:00,3.026938E+04,6.974023E+03,1.562227E+00,5.381036E-01,2.924840E+04,2.917125E+04,1.509534E+00,2.250998E+00,5.161518E+04,3.443826E+04,2.663481E+00,2.658450E+00,5.190180E+03,0.000000E+00,2.678461E-01,0.000000E+00,4.470072E+03,5.877163E+02,2.306846E-01,4.534551E-02,8.247514E+03,1.921425E+03,4.255719E-01,1.482908E-01
01:30:00,3.026941E+04,7.002588E+03,1.562229E+00,5.403065E-01,2.924849E+04,2.923307E+04,1.509539E+00,2.255728E+00,5.161534E+04,3.436567E+04,2.663489E+00,2.652827E+00,5.190183E+03,0.000000E+00,2.678463E-01,0.000000E+00,4.470082E+03,6.204117E+02,2.306851E-01,4.786866E-02,8.247539E+03,1.925646E+03,4.255732E-01,1.486182E-01
01:45:00,3.026944E+04,7.022908E+03,1.562231E+00,5.418731E-01,2.924858E+04,2.929038E+04,1.509543E+00,2.260117E+00,5.161549E+04,3.429429E+04,2.663497E+00,2.647301E+00,5.190186E+03,0.000000E+00,2.678464E-01,0.000000E+00,4.470092E+03,6.490355E+02,2.306856E-01,5.007766E-02,8.247563E+03,1.928332E+03,4.255744E-01,1.488268E-01
02:00:00,3.026947E+04,7.037097E+03,1.562232E+00,5.429666E-01,2.924867E+04,2.934349E+04,1.509548E+00,2.264190E+00,5.161564E+04,3.422588E+04,2.663505E+00,2.642010E+00,5.190188E+03,0.000000E+00,2.678466E-01,0.000000E+00,4.470101E+03,6.747064E+02,2.306860E-01,5.205880E-02,8.247586E+03,1.930048E+03,4.255756E-01,1.489601E-01
02:15:00,3.026949E+04,7.045123E+03,1.562233E+00,5.435848E-01,2.924876E+04,2.939224E+04,1.509552E+00,2.267934E+00,5.161578E+04,3.415788E+04,2.663512E+00,2.636756E+00,5.190191E+03,0.000000E+00,2.678467E-01,0.000000E+00,4.470110E+03,6.977334E+02,2.306865E-01,5.383592E-02,8.247608E+03,1.930416E+03,4.255767E-01,1.489892E-01
02:30:00,3.026952E+04,7.048233E+03,1.562235E+00,5.438236E-01,2.924884E+04,2.943725E+04,1.509557E+00,2.271395E+00,5.161591E+04,3.409100E+04,2.663519E+00,2.631591E+00,5.190193E+03,0.000000E+00,2.678468E-01,0.000000E+00,4.470119E+03,7.186674E+02,2.306870E-01,5.545154E-02,8.247629E+03,1.929770E+03,4.255778E-01,1.489398E-01
02:45:00,3.026954E+04,7.047586E+03,1.562236E+00,5.437726E-01,2.924892E+04,2.947912E+04,1.509561E+00,2.274617E+00,5.161604E+04,3.402627E+04,2.663526E+00,2.626596E+00,5.190196E+03,0.000000E+00,2.678469E-01,0.000000E+00,4.470128E+03,7.379294E+02,2.306874E-01,5.693813E-02,8.247649E+03,1.928362E+03,4.255789E-01,1.488315E-01
