Time,THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.793651E+04,8.926169E+02,1.441827E+00,6.896851E-02,2.635605E+04,2.419699E+04,1.360258E+00,1.867158E+00,4.874873E+04,2.894326E+04,2.515568E+00,2.233787E+00,5.017590E+03,0.000000E+00,2.589395E-01,0.000000E+00,4.247078E+03,0.000000E+00,2.191768E-01,0.000000E+00,8.023056E+03,7.778905E+02,4.139902E-01,6.001780E-02
00:30:00,2.793624E+04,1.259087E+03,1.441813E+00,9.724150E-02,2.635577E+04,2.420222E+04,1.360243E+00,1.867532E+00,4.874854E+04,2.874544E+04,2.515558E+00,2.218521E+00,5.017571E+03,0.000000E+00,2.589386E-01,0.000000E+00,4.247058E+03,0.000000E+00,2.191758E-01,0.000000E+00,8.023056E+03,7.544487E+02,4.139903E-01,5.821005E-02
00:45:00,2.793596E+04,1.342749E+03,1.441798E+00,1.035930E-01,2.635549E+04,2.419517E+04,1.360229E+00,1.866952E+00,4.874833E+04,2.852823E+04,2.515547E+00,2.201744E+00,5.017552E+03,0.000000E+00,2.589376E-01,0.000000E+00,4.247037E+03,0.000000E+00,2.191747E-01,0.000000E+00,8.023055E+03,7.622771E+02,4.139902E-01,5.881439E-02
01:00:00,2.793569E+04,1.440759E+03,1.441784E+00,1.111543E-01,2.635520E+04,2.418237E+04,1.360214E+00,1.865932E+00,4.874813E+04,2.830135E+04,2.515537E+00,2.184217E+00,5.017532E+03,0.000000E+00,2.589366E-01,0.000000E+00,4.247017E+03,0.000000E+00,2.191737E-01,0.000000E+00,8.023053E+03,7.492085E+02,4.139901E-01,5.780652E-02
01:15:00,2.793574E+04,1.533406E+03,1.441787E+00,1.183022E-01,2.635533E+04,2.419274E+04,1.360220E+00,1.866703E+00,4.874831E+04,2.809697E+04,2.515546E+00,2.168426E+00,5.017537E+03,0.000000E+00,2.589368E-01,0.000000E+00,4.247029E+03,0.000000E+00,2.191743E-01,0.000000E+00,8.023081E+03,7.349551E+02,4.139915E-01,5.670697E-02
01:30:00,2.793579E+04,1.567524E+03,1.441789E+00,1.209347E-01,2.635545E+04,2.420387E+04,1.360226E+00,1.867537E+00,4.874849E+04,2.789564E+04,2.515555E+00,2.152869E+00,5.017542E+03,0.000000E+00,2.589371E-01,0.000000E+00,4.247040E+03,0.000000E+00,2.191749E-01,0.000000E+00,8.023107E+03,7.188345E+02,4.139929E-01,5.546326E-02
01:45:00,2.793584E+04,1.586768E+03,1.441792E+00,1.224195E-01,2.635556E+04,2.421589E+04,1.360232E+00,1.868444E+00,4.874866E+04,2.769932E+04,2.515564E+00,2.137702E+00,5.017546E+03,0.000000E+00,2.589373E-01,0.000000E+00,4.247051E+03,0.000000E+00,2.191754E-01,0.000000E+00,8.023133E+03,7.019346E+02,4.139942E-01,5.415935E-02
02:00:00,2.793589E+04,1.596803E+03,1.441794E+00,1.231937E-01,2.635567E+04,2.422940E+04,1.360238E+00,1.869471E+00,4.874882E+04,2.751009E+04,2.515572E+00,2.123086E+00,5.017550E+03,0.000000E+00,2.589375E-01,0.000000E+00,4.247062E+03,0.000000E+00,2.191760E-01,0.000000E+00,8.023157E+03,6.849635E+02,4.139955E-01,5.284989E-02
02:15:00,2.793593E+04,1.597829E+03,1.441797E+00,1.232729E-01,2.635578E+04,2.424151E+04,1.360243E+00,1.870393E+00,4.874898E+04,2.732242E+04,2.515581E+00,2.108593E+00,5.017554E+03,0.000000E+00,2.589377E-01,0.000000E+00,4.247072E+03,0.000000E+00,2.191765E-01,0.000000E+00,8.023180E+03,6.670283E+02,4.139967E-01,5.146603E-02
02:30:00,2.793598E+04,1.592281E+03,1.441799E+00,1.228449E-01,2.635588E+04,2.425242E+04,1.360249E+00,1.871227E+00,4.874913E+04,2.713753E+04,2.515589E+00,2.094318E+00,5.017557E+03,0.000000E+00,2.589379E-01,0.000000E+00,4.247083E+03,0.000000E+00,2.191771E-01,0.000000E+00,8.023203E+03,6.485692E+02,4.139978E-01,5.004171E-02
