Time,THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NAPLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NAPLES ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.039625E+04,3.699433E+03,1.568776E+00,2.854163E-01,2.940500E+04,2.604962E+04,1.517616E+00,2.010127E+00,5.177011E+04,3.008058E+04,2.671476E+00,2.321606E+00,5.199491E+03,0.000000E+00,2.683267E-01,0.000000E+00,4.482051E+03,0.000000E+00,2.313027E-01,0.000000E+00,8.259496E+03,9.445096E+02,4.261902E-01,7.287483E-02
00:30:00,3.039630E+04,3.318545E+03,1.568778E+00,2.560342E-01,2.940511E+04,2.601189E+04,1.517622E+00,2.007181E+00,5.177030E+04,2.987205E+04,2.671486E+00,2.305515E+00,5.199496E+03,0.000000E+00,2.683269E-01,0.000000E+00,4.482062E+03,0.000000E+00,2.313033E-01,0.000000E+00,8.259528E+03,9.278480E+02,4.261918E-01,7.159027E-02
00:45:00,3.039634E+04,3.473405E+03,1.568780E+00,2.679809E-01,2.940522E+04,2.596287E+04,1.517627E+00,2.003357E+00,5.177048E+04,2.965046E+04,2.671495E+00,2.288404E+00,5.199500E+03,0.000000E+00,2.683271E-01,0.000000E+00,4.482072E+03,0.000000E+00,2.313038E-01,0.000000E+00,8.259557E+03,9.267635E+02,4.261933E-01,7.150717E-02
01:00:00,3.039638E+04,3.417052E+03,1.568782E+00,2.636339E-01,2.940532E+04,2.590846E+04,1.517633E+00,1.999122E+00,5.177065E+04,2.942926E+04,2.671504E+00,2.271321E+00,5.199504E+03,0.000000E+00,2.683273E-01,0.000000E+00,4.482082E+03,0.000000E+00,2.313043E-01,0.000000E+00,8.259585E+03,9.100622E+02,4.261947E-01,7.021907E-02
01:15:00,3.039641E+04,3.369377E+03,1.568784E+00,2.599555E-01,2.940542E+04,2.587643E+04,1.517638E+00,1.996618E+00,5.177081E+04,2.922716E+04,2.671512E+00,2.255714E+00,5.199507E+03,0.000000E+00,2.683275E-01,0.000000E+00,4.482092E+03,0.000000E+00,2.313048E-01,0.000000E+00,8.259611E+03,8.923943E+02,4.261961E-01,6.885611E-02
01:30:00,3.039644E+04,3.311254E+03,1.568785E+00,2.554709E-01,2.940551E+04,2.584503E+04,1.517642E+00,1.994168E+00,5.177097E+04,2.902498E+04,2.671520E+00,2.240091E+00,5.199510E+03,0.000000E+00,2.683276E-01,0.000000E+00,4.482102E+03,0.000000E+00,2.313053E-01,0.000000E+00,8.259636E+03,8.731222E+02,4.261974E-01,6.736924E-02
01:45:00,3.039647E+04,3.247163E+03,1.568787E+00,2.505258E-01,2.940560E+04,2.581435E+04,1.517647E+00,1.991778E+00,5.177112E+04,2.882065E+04,2.671528E+00,2.224302E+00,5.199513E+03,0.000000E+00,2.683278E-01,0.000000E+00,4.482111E+03,0.000000E+00,2.313058E-01,0.000000E+00,8.259660E+03,8.532118E+02,4.261986E-01,6.583303E-02
02:00:00,3.039649E+04,3.180264E+03,1.568788E+00,2.453640E-01,2.940568E+04,2.578556E+04,1.517651E+00,1.989539E+00,5.177126E+04,2.861185E+04,2.671535E+00,2.208168E+00,5.199516E+03,0.000000E+00,2.683279E-01,0.000000E+00,4.482120E+03,0.000000E+00,2.313063E-01,0.000000E+00,8.259682E+03,8.333176E+02,4.261998E-01,6.429799E-02
02:15:00,3.039652E+04,3.109283E+03,1.568789E+00,2.398874E-01,2.940577E+04,2.575571E+04,1.517656E+00,1.987224E+00,5.177140E+04,2.840418E+04,2.671542E+00,2.192120E+00,5.199518E+03,0.000000E+00,2.683280E-01,0.000000E+00,4.482129E+03,0.000000E+00,2.313067E-01,0.000000E+00,8.259704E+03,8.125123E+02,4.262009E-01,6.269262E-02
02:30:00,3.039654E+04,3.035682E+03,1.568790E+00,2.342086E-01,2.940585E+04,2.572460E+04,1.517660E+00,1.984815E+00,5.177153E+04,2.819719E+04,2.671549E+00,2.176133E+00,5.199520E+03,0.000000E+00,2.683281E-01,0.000000E+00,4.482138E+03,0.000000E+00,2.313072E-01,0.000000E+00,8.259725E+03,7.912158E+02,4.262020E-01,6.104932E-02
02:45:00,3.039656E+04,2.960825E+03,1.568791E+00,2.284329E-01,2.940593E+04,2.569244E+04,1.517664E+00,1.982327E+00,5.177166E+04,2.799278E+04,2.671556E+00,2.160349E+00,5.199522E+03,0.000000E+00,2.683282E-01,0.000000E+00,4.482146E+03,2.816473E+00,2.313076E-01,2.173681E-04,8.259744E+03,7.697671E+02,4.262030E-01,5.939424E-02
03:00:00,3.039658E+04,2.885865E+03,1.568792E+00,2.226493E-01,2.940600E+04,2.565933E+04,1.517668E+00,1.979768E+00,5.177178E+04,2.779194E+04,2.671562E+00,2.144842E+00,5.199524E+03,0.000000E+00,2.683283E-01,0.000000E+00,4.482154E+03,9.170675E+00,2.313080E-01,7.075815E-04,8.259764E+03,7.484566E+02,4.262040E-01,5.774982E-02
03:15:00,3.039660E+04,2.807840E+03,1.568793E+00,2.166293E-01,2.940607E+04,2.562230E+04,1.517671E+00,1.976907E+00,5.177190E+04,2.758804E+04,2.671568E+00,2.129100E+00,5.199526E+03,0.000000E+00,2.683284E-01,0.000000E+00,4.482162E+03,1.625661E+01,2.313085E-01,1.254248E-03,8.259782E+03,7.260780E+02,4.262049E-01,5.602298E-02
03:30:00,3.039662E+04,2.726982E+03,1.568794E+00,2.103907E-01,2.940614E+04,2.558174E+04,1.517675E+00,1.973776E+00,5.177202E+04,2.738149E+04,2.671574E+00,2.113154E+00,5.199528E+03,0.000000E+00,2.683285E-01,0.000000E+00,4.482170E+03,2.528961E+01,2.313089E-01,1.951127E-03,8.259800E+03,7.027580E+02,4.262058E-01,5.422349E-02
03:45:00,3.039663E+04,2.643711E+03,1.568795E+00,2.039660E-01,2.940621E+04,2.553816E+04,1.517679E+00,1.970411E+00,5.177213E+04,2.717339E+04,2.671580E+00,2.097088E+00,5.199529E+03,0.000000E+00,2.683286E-01,0.000000E+00,4.482178E+03,3.254564E+01,2.313093E-01,2.510836E-03,8.259817E+03,6.786322E+02,4.262067E-01,5.236181E-02
04:00:00,3.039665E+04,2.558435E+03,1.568796E+00,1.973866E-01,2.940628E+04,2.549114E+04,1.517682E+00,1.966782E+00,5.177224E+04,2.696395E+04,2.671585E+00,2.080921E+00,5.199531E+03,0.000000E+00,2.683287E-01,0.000000E+00,4.482185E+03,3.698703E+01,2.313096E-01,2.853484E-03,8.259833E+03,6.538076E+02,4.262076E-01,5.044622E-02
04:15:00,3.039666E+04,2.475435E+03,1.568797E+00,1.909828E-01,2.940634E+04,2.544443E+04,1.517685E+00,1.963177E+00,5.177234E+04,2.676126E+04,2.671591E+00,2.065274E+00,5.199533E+03,0.000000E+00,2.683288E-01,0.000000E+00,4.482192E+03,4.191768E+01,2.313100E-01,3.233878E-03,8.259849E+03,6.298313E+02,4.262084E-01,4.859608E-02
04:30:00,3.039668E+04,2.395541E+03,1.568798E+00,1.848186E-01,2.940640E+04,2.539848E+04,1.517688E+00,1.959631E+00,5.177244E+04,2.656619E+04,2.671596E+00,2.050215E+00,5.199534E+03,0.000000E+00,2.683289E-01,0.000000E+00,4.482200E+03,4.589140E+01,2.313104E-01,3.540448E-03,8.259864E+03,6.068539E+02,4.262092E-01,4.682303E-02
04:45:00,3.039669E+04,2.319209E+03,1.568798E+00,1.789293E-01,2.940646E+04,2.535330E+04,1.517692E+00,1.956144E+00,5.177254E+04,2.637828E+04,2.671601E+00,2.035711E+00,5.199535E+03,0.000000E+00,2.683289E-01,0.000000E+00,4.482207E+03,4.961082E+01,2.313107E-01,3.827398E-03,8.259879E+03,5.849733E+02,4.262099E-01,4.513463E-02
05:00:00,3.039671E+04,2.246758E+03,1.568799E+00,1.733394E-01,2.940652E+04,2.530974E+04,1.517695E+00,1.952783E+00,5.177263E+04,2.619809E+04,2.671606E+00,2.021801E+00,5.199537E+03,0.000000E+00,2.683290E-01,0.000000E+00,4.482213E+03,5.320209E+01,2.313111E-01,4.104463E-03,8.259893E+03,5.642765E+02,4.262107E-01,4.353757E-02
