Time,THERMAL ZONE 1:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ROMA-FIUMICINO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ROMA-FIUMICINO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.420702E+03,0.000000E+00,2.797193E-01,0.000000E+00,3.212516E+04,3.265834E+04,1.657760E+00,2.520221E+00,8.546805E+04,0.000000E+00,4.406108E+00,0.000000E+00,6.589908E+03,3.477124E+03,3.400840E-01,2.683453E-01,1.549688E+04,3.413317E+03,7.997807E-01,2.633517E-01
00:20:00,5.420702E+03,0.000000E+00,2.797193E-01,0.000000E+00,3.212517E+04,3.255992E+04,1.657761E+00,2.512636E+00,8.546805E+04,0.000000E+00,4.406108E+00,0.000000E+00,6.589923E+03,3.447696E+03,3.400848E-01,2.660707E-01,1.549690E+04,3.448900E+03,7.997817E-01,2.660986E-01
00:30:00,5.420703E+03,0.000000E+00,2.797194E-01,0.000000E+00,3.212519E+04,3.245333E+04,1.657762E+00,2.504414E+00,8.546806E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.589937E+03,3.418806E+03,3.400855E-01,2.638380E-01,1.549691E+04,3.464087E+03,7.997826E-01,2.672706E-01
00:40:00,5.420703E+03,0.000000E+00,2.797194E-01,0.000000E+00,3.212520E+04,3.234043E+04,1.657762E+00,2.495704E+00,8.546806E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.589951E+03,3.390455E+03,3.400862E-01,2.616469E-01,1.549693E+04,3.466034E+03,7.997833E-01,2.674211E-01
00:50:00,5.420704E+03,0.000000E+00,2.797194E-01,0.000000E+00,3.212521E+04,3.222253E+04,1.657763E+00,2.486605E+00,8.546806E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.589964E+03,3.362737E+03,3.400869E-01,2.595045E-01,1.549694E+04,3.458062E+03,7.997840E-01,2.668060E-01
01:00:00,5.420704E+03,0.000000E+00,2.797194E-01,0.000000E+00,3.212523E+04,3.210100E+04,1.657764E+00,2.477227E+00,8.546806E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.589977E+03,3.335766E+03,3.400875E-01,2.574195E-01,1.549696E+04,3.442462E+03,7.997847E-01,2.656023E-01
01:10:00,5.420706E+03,0.000000E+00,2.797195E-01,0.000000E+00,3.212525E+04,3.198248E+04,1.657765E+00,2.468080E+00,8.546807E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.589990E+03,3.309747E+03,3.400882E-01,2.554078E-01,1.549697E+04,3.422093E+03,7.997855E-01,2.640305E-01
01:20:00,5.420708E+03,0.000000E+00,2.797196E-01,0.000000E+00,3.212527E+04,3.186466E+04,1.657766E+00,2.458988E+00,8.546807E+04,0.000000E+00,4.406109E+00,0.000000E+00,6.590003E+03,3.284576E+03,3.400889E-01,2.534612E-01,1.549699E+04,3.398041E+03,7.997863E-01,2.621746E-01
01:30:00,5.420710E+03,0.000000E+00,2.797197E-01,0.000000E+00,3.212529E+04,3.174818E+04,1.657767E+00,2.449998E+00,8.546807E+04,0.000000E+00,4.406110E+00,0.000000E+00,6.590015E+03,3.259791E+03,3.400895E-01,2.515449E-01,1.549700E+04,3.370975E+03,7.997870E-01,2.600860E-01
01:40:00,5.420712E+03,0.000000E+00,2.797198E-01,0.000000E+00,3.212530E+04,3.163373E+04,1.657768E+00,2.441165E+00,8.546808E+04,0.000000E+00,4.406110E+00,0.000000E+00,6.590027E+03,3.235423E+03,3.400901E-01,2.496613E-01,1.549701E+04,3.341744E+03,7.997877E-01,2.578305E-01
