Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 16:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.478950E+04,0.000000E+00,2.310996E+00,0.000000E+00,2.912703E+03,0.000000E+00,1.503120E-01,0.000000E+00,6.930490E+03,5.157689E+03,3.575876E-01,3.980308E-01,6.930750E+03,5.028049E+00,3.576010E-01,3.879703E-04,1.914506E+04,7.849360E+03,9.879373E-01,6.056681E-01,3.993583E+03,8.517486E+03,2.060862E-01,6.573577E-01,5.409412E+03,0.000000E+00,2.791204E-01,0.000000E+00,3.477044E+04,0.000000E+00,1.794228E+00,0.000000E+00,1.974662E+03,0.000000E+00,1.019157E-01,0.000000E+00,4.412820E+04,2.772143E+04,2.276868E+00,2.139183E+00,2.919073E+03,0.000000E+00,1.506407E-01,0.000000E+00,2.792873E+03,0.000000E+00,1.441283E-01,0.000000E+00,4.713191E+03,2.916991E+03,2.432131E-01,2.250795E-01,4.713274E+03,0.000000E+00,2.432174E-01,0.000000E+00,1.041145E+04,0.000000E+00,5.373345E-01,0.000000E+00,1.933326E+03,6.083621E+03,9.978230E-02,4.694504E-01
00:20:00,4.478953E+04,0.000000E+00,2.310998E+00,0.000000E+00,2.912709E+03,0.000000E+00,1.503123E-01,0.000000E+00,6.930503E+03,5.138194E+03,3.575883E-01,3.965267E-01,6.930763E+03,5.028049E+00,3.576017E-01,3.879703E-04,1.914511E+04,7.822195E+03,9.879399E-01,6.035719E-01,3.993595E+03,8.496102E+03,2.060869E-01,6.557010E-01,5.409423E+03,0.000000E+00,2.791210E-01,0.000000E+00,3.477048E+04,0.000000E+00,1.794230E+00,0.000000E+00,1.974670E+03,0.000000E+00,1.019161E-01,0.000000E+00,4.412823E+04,2.762126E+04,2.276869E+00,2.131460E+00,2.919077E+03,0.000000E+00,1.506409E-01,0.000000E+00,2.792876E+03,0.000000E+00,1.441284E-01,0.000000E+00,4.713196E+03,2.917954E+03,2.432134E-01,2.251539E-01,4.713279E+03,0.000000E+00,2.432177E-01,0.000000E+00,1.041148E+04,0.000000E+00,5.373362E-01,0.000000E+00,1.933336E+03,6.086216E+03,9.978281E-02,4.696430E-01
00:30:00,4.478957E+04,0.000000E+00,2.311000E+00,0.000000E+00,2.912715E+03,0.000000E+00,1.503126E-01,0.000000E+00,6.930515E+03,5.117932E+03,3.575889E-01,3.949630E-01,6.930776E+03,5.028049E+00,3.576023E-01,3.879703E-04,1.914516E+04,7.791071E+03,9.879424E-01,6.011700E-01,3.993608E+03,8.474924E+03,2.060875E-01,6.540588E-01,5.409433E+03,0.000000E+00,2.791215E-01,0.000000E+00,3.477052E+04,0.000000E+00,1.794232E+00,0.000000E+00,1.974679E+03,0.000000E+00,1.019165E-01,0.000000E+00,4.412826E+04,2.750838E+04,2.276871E+00,2.122754E+00,2.919080E+03,0.000000E+00,1.506411E-01,0.000000E+00,2.792879E+03,0.000000E+00,1.441286E-01,0.000000E+00,4.713200E+03,2.917081E+03,2.432136E-01,2.250866E-01,4.713284E+03,0.000000E+00,2.432179E-01,0.000000E+00,1.041151E+04,0.000000E+00,5.373377E-01,0.000000E+00,1.933346E+03,6.087535E+03,9.978328E-02,4.697378E-01
00:40:00,4.478960E+04,0.000000E+00,2.311001E+00,0.000000E+00,2.912720E+03,0.000000E+00,1.503129E-01,0.000000E+00,6.930527E+03,5.097063E+03,3.575895E-01,3.933521E-01,6.930788E+03,1.623833E+00,3.576030E-01,1.252755E-04,1.914520E+04,7.756904E+03,9.879449E-01,5.985330E-01,3.993619E+03,8.454033E+03,2.060881E-01,6.524354E-01,5.409443E+03,0.000000E+00,2.791220E-01,0.000000E+00,3.477056E+04,0.000000E+00,1.794234E+00,0.000000E+00,1.974686E+03,0.000000E+00,1.019169E-01,0.000000E+00,4.412829E+04,2.738639E+04,2.276872E+00,2.113343E+00,2.919084E+03,0.000000E+00,1.506413E-01,0.000000E+00,2.792882E+03,0.000000E+00,1.441287E-01,0.000000E+00,4.713205E+03,2.914654E+03,2.432138E-01,2.248992E-01,4.713288E+03,0.000000E+00,2.432181E-01,0.000000E+00,1.041154E+04,0.000000E+00,5.373391E-01,0.000000E+00,1.933354E+03,6.087875E+03,9.978372E-02,4.697558E-01
00:50:00,4.478963E+04,0.000000E+00,2.311003E+00,0.000000E+00,2.912725E+03,0.000000E+00,1.503132E-01,0.000000E+00,6.930539E+03,5.075735E+03,3.575901E-01,3.917057E-01,6.930799E+03,0.000000E+00,3.576036E-01,0.000000E+00,1.914525E+04,7.720435E+03,9.879472E-01,5.957182E-01,3.993631E+03,8.433450E+03,2.060887E-01,6.508329E-01,5.409452E+03,0.000000E+00,2.791225E-01,0.000000E+00,3.477059E+04,0.000000E+00,1.794235E+00,0.000000E+00,1.974693E+03,0.000000E+00,1.019172E-01,0.000000E+00,4.412832E+04,2.725801E+04,2.276873E+00,2.103438E+00,2.919088E+03,0.000000E+00,1.506415E-01,0.000000E+00,2.792885E+03,0.000000E+00,1.441288E-01,0.000000E+00,4.713209E+03,2.910904E+03,2.432140E-01,2.246097E-01,4.713292E+03,0.000000E+00,2.432183E-01,0.000000E+00,1.041157E+04,0.000000E+00,5.373405E-01,0.000000E+00,1.933363E+03,6.087407E+03,9.978413E-02,4.697103E-01
01:00:00,4.478966E+04,0.000000E+00,2.311005E+00,0.000000E+00,2.912730E+03,0.000000E+00,1.503134E-01,0.000000E+00,6.930551E+03,5.054074E+03,3.575907E-01,3.900333E-01,6.930811E+03,0.000000E+00,3.576042E-01,0.000000E+00,1.914530E+04,7.682254E+03,9.879495E-01,5.927712E-01,3.993642E+03,8.413208E+03,2.060892E-01,6.492550E-01,5.409461E+03,0.000000E+00,2.791229E-01,0.000000E+00,3.477062E+04,0.000000E+00,1.794237E+00,0.000000E+00,1.974699E+03,0.000000E+00,1.019176E-01,0.000000E+00,4.412834E+04,2.712522E+04,2.276875E+00,2.093191E+00,2.919091E+03,0.000000E+00,1.506417E-01,0.000000E+00,2.792887E+03,0.000000E+00,1.441290E-01,0.000000E+00,4.713213E+03,2.906023E+03,2.432142E-01,2.242328E-01,4.713296E+03,0.000000E+00,2.432185E-01,0.000000E+00,1.041159E+04,0.000000E+00,5.373417E-01,0.000000E+00,1.933370E+03,6.086278E+03,9.978452E-02,4.696127E-01
01:10:00,4.478969E+04,0.000000E+00,2.311006E+00,0.000000E+00,2.912736E+03,0.000000E+00,1.503137E-01,0.000000E+00,6.930562E+03,5.038213E+03,3.575913E-01,3.888085E-01,6.930823E+03,0.000000E+00,3.576048E-01,0.000000E+00,1.914534E+04,7.644356E+03,9.879519E-01,5.898459E-01,3.993652E+03,8.400892E+03,2.060898E-01,6.482881E-01,5.409470E+03,0.000000E+00,2.791234E-01,0.000000E+00,3.477065E+04,0.000000E+00,1.794239E+00,0.000000E+00,1.974705E+03,0.000000E+00,1.019179E-01,0.000000E+00,4.412837E+04,2.699671E+04,2.276876E+00,2.083274E+00,2.919094E+03,0.000000E+00,1.506419E-01,0.000000E+00,2.792890E+03,0.000000E+00,1.441291E-01,0.000000E+00,4.713217E+03,2.906267E+03,2.432145E-01,2.242513E-01,4.713301E+03,0.000000E+00,2.432188E-01,0.000000E+00,1.041161E+04,0.000000E+00,5.373429E-01,0.000000E+00,1.933377E+03,6.093322E+03,9.978488E-02,4.701453E-01
01:20:00,4.478972E+04,0.000000E+00,2.311007E+00,0.000000E+00,2.912741E+03,0.000000E+00,1.503140E-01,0.000000E+00,6.930574E+03,5.022825E+03,3.575919E-01,3.876203E-01,6.930834E+03,0.000000E+00,3.576054E-01,0.000000E+00,1.914538E+04,7.606653E+03,9.879541E-01,5.869357E-01,3.993663E+03,8.389023E+03,2.060903E-01,6.473553E-01,5.409479E+03,0.000000E+00,2.791239E-01,0.000000E+00,3.477068E+04,0.000000E+00,1.794240E+00,0.000000E+00,1.974711E+03,0.000000E+00,1.019181E-01,0.000000E+00,4.412839E+04,2.686982E+04,2.276877E+00,2.073482E+00,2.919098E+03,0.000000E+00,1.506420E-01,0.000000E+00,2.792893E+03,0.000000E+00,1.441293E-01,0.000000E+00,4.713221E+03,2.906247E+03,2.432147E-01,2.242495E-01,4.713305E+03,0.000000E+00,2.432190E-01,0.000000E+00,1.041164E+04,0.000000E+00,5.373441E-01,0.000000E+00,1.933384E+03,6.100378E+03,9.978523E-02,4.706783E-01
01:30:00,4.478974E+04,0.000000E+00,2.311009E+00,0.000000E+00,2.912746E+03,0.000000E+00,1.503143E-01,0.000000E+00,6.930585E+03,5.007951E+03,3.575925E-01,3.864719E-01,6.930845E+03,0.000000E+00,3.576059E-01,0.000000E+00,1.914543E+04,7.569361E+03,9.879563E-01,5.840572E-01,3.993673E+03,8.377252E+03,2.060909E-01,6.464334E-01,5.409488E+03,0.000000E+00,2.791243E-01,0.000000E+00,3.477071E+04,0.000000E+00,1.794242E+00,0.000000E+00,1.974716E+03,0.000000E+00,1.019184E-01,0.000000E+00,4.412841E+04,2.674540E+04,2.276879E+00,2.063881E+00,2.919101E+03,0.000000E+00,1.506422E-01,0.000000E+00,2.792896E+03,0.000000E+00,1.441294E-01,0.000000E+00,4.713225E+03,2.905959E+03,2.432149E-01,2.242270E-01,4.713309E+03,0.000000E+00,2.432192E-01,0.000000E+00,1.041166E+04,0.000000E+00,5.373451E-01,0.000000E+00,1.933391E+03,6.106749E+03,9.978555E-02,4.711603E-01
01:40:00,4.478977E+04,0.000000E+00,2.311010E+00,0.000000E+00,2.912751E+03,0.000000E+00,1.503145E-01,0.000000E+00,6.930596E+03,4.993636E+03,3.575931E-01,3.853668E-01,6.930856E+03,0.000000E+00,3.576065E-01,0.000000E+00,1.914547E+04,7.532737E+03,9.879585E-01,5.812303E-01,3.993683E+03,8.365594E+03,2.060914E-01,6.455252E-01,5.409496E+03,0.000000E+00,2.791247E-01,0.000000E+00,3.477074E+04,0.000000E+00,1.794243E+00,0.000000E+00,1.974721E+03,0.000000E+00,1.019186E-01,0.000000E+00,4.412844E+04,2.662416E+04,2.276880E+00,2.054524E+00,2.919104E+03,0.000000E+00,1.506424E-01,0.000000E+00,2.792898E+03,0.000000E+00,1.441296E-01,0.000000E+00,4.713229E+03,2.905475E+03,2.432151E-01,2.241895E-01,4.713313E+03,0.000000E+00,2.432194E-01,0.000000E+00,1.041168E+04,0.000000E+00,5.373462E-01,0.000000E+00,1.933397E+03,6.112392E+03,9.978586E-02,4.715888E-01
