Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.036592E+04,0.000000E+00,1.051071E+00,0.000000E+00,8.758082E+03,4.667040E+03,4.519808E-01,3.601600E-01,3.025929E+04,5.773063E+03,1.561450E+00,4.454549E-01,6.644463E+04,0.000000E+00,3.423900E+00,0.000000E+00,7.212627E+03,2.198071E+02,3.721313E-01,1.695854E-02,1.926200E+04,3.691395E+03,9.939264E-01,2.848098E-01,1.895448E+04,9.582901E+03,9.779546E-01,7.395186E-01,6.094101E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386670E+03,0.000000E+00,2.779563E-01,0.000000E+00,1.013893E+04,0.000000E+00,5.232431E-01,0.000000E+00,9.096331E+03,1.686663E+04,4.694367E-01,1.301396E+00,2.053605E+04,4.202065E+03,1.059851E+00,3.242154E-01,6.179812E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683945E+03,2.232176E+01,2.932958E-01,1.724408E-03,8.470697E+03,1.274185E+03,4.371519E-01,9.842229E-02
00:20:00,2.036593E+04,0.000000E+00,1.051071E+00,0.000000E+00,8.758094E+03,4.642030E+03,4.519814E-01,3.582260E-01,3.025935E+04,5.740316E+03,1.561453E+00,4.429280E-01,6.644464E+04,0.000000E+00,3.423901E+00,0.000000E+00,7.212636E+03,2.068822E+02,3.721317E-01,1.596134E-02,1.926203E+04,3.678117E+03,9.939281E-01,2.837864E-01,1.895450E+04,9.545518E+03,9.779555E-01,7.366365E-01,6.094101E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386670E+03,0.000000E+00,2.779563E-01,0.000000E+00,1.013893E+04,0.000000E+00,5.232432E-01,0.000000E+00,9.096328E+03,1.687226E+04,4.694365E-01,1.301829E+00,2.053608E+04,4.230532E+03,1.059853E+00,3.264116E-01,6.179813E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683950E+03,2.232176E+01,2.932960E-01,1.724408E-03,8.470705E+03,1.403000E+03,4.371523E-01,1.082425E-01
00:30:00,2.036594E+04,0.000000E+00,1.051072E+00,0.000000E+00,8.758104E+03,4.617973E+03,4.519820E-01,3.563654E-01,3.025941E+04,5.699675E+03,1.561456E+00,4.397917E-01,6.644465E+04,0.000000E+00,3.423901E+00,0.000000E+00,7.212644E+03,1.892694E+02,3.721321E-01,1.460248E-02,1.926206E+04,3.648429E+03,9.939296E-01,2.814969E-01,1.895452E+04,9.504190E+03,9.779564E-01,7.334489E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386669E+03,0.000000E+00,2.779563E-01,0.000000E+00,1.013894E+04,0.000000E+00,5.232434E-01,0.000000E+00,9.096323E+03,1.687198E+04,4.694363E-01,1.301806E+00,2.053611E+04,4.249724E+03,1.059854E+00,3.278920E-01,6.179813E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683954E+03,1.160789E+01,2.932963E-01,8.955320E-04,8.470714E+03,1.387248E+03,4.371528E-01,1.070265E-01
00:40:00,2.036594E+04,0.000000E+00,1.051072E+00,0.000000E+00,8.758114E+03,4.595309E+03,4.519824E-01,3.546123E-01,3.025947E+04,5.652226E+03,1.561459E+00,4.361298E-01,6.644466E+04,0.000000E+00,3.423902E+00,0.000000E+00,7.212651E+03,1.708298E+02,3.721325E-01,1.317981E-02,1.926209E+04,3.614428E+03,9.939312E-01,2.788743E-01,1.895453E+04,9.459649E+03,9.779572E-01,7.300125E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386669E+03,0.000000E+00,2.779563E-01,0.000000E+00,1.013894E+04,0.000000E+00,5.232435E-01,0.000000E+00,9.096319E+03,1.686722E+04,4.694360E-01,1.301437E+00,2.053614E+04,4.261124E+03,1.059856E+00,3.287710E-01,6.179813E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683958E+03,6.916701E+00,2.932965E-01,5.336102E-04,8.470722E+03,1.487752E+03,4.371532E-01,1.147805E-01
00:50:00,2.036595E+04,0.000000E+00,1.051072E+00,0.000000E+00,8.758122E+03,4.574408E+03,4.519829E-01,3.529950E-01,3.025952E+04,5.598939E+03,1.561462E+00,4.320173E-01,6.644467E+04,0.000000E+00,3.423902E+00,0.000000E+00,7.212658E+03,1.516710E+02,3.721329E-01,1.170164E-02,1.926212E+04,3.576937E+03,9.939326E-01,2.759822E-01,1.895455E+04,9.412640E+03,9.779580E-01,7.263849E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386669E+03,0.000000E+00,2.779562E-01,0.000000E+00,1.013894E+04,0.000000E+00,5.232435E-01,0.000000E+00,9.096313E+03,1.685902E+04,4.694357E-01,1.300803E+00,2.053617E+04,4.265729E+03,1.059857E+00,3.291256E-01,6.179813E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683962E+03,4.009638E+00,2.932967E-01,3.093357E-04,8.470731E+03,1.534493E+03,4.371536E-01,1.183870E-01
01:00:00,2.036595E+04,0.000000E+00,1.051073E+00,0.000000E+00,8.758130E+03,4.555533E+03,4.519833E-01,3.515338E-01,3.025957E+04,5.540676E+03,1.561465E+00,4.275205E-01,6.644468E+04,0.000000E+00,3.423903E+00,0.000000E+00,7.212665E+03,1.319859E+02,3.721333E-01,1.018288E-02,1.926214E+04,3.536797E+03,9.939340E-01,2.728856E-01,1.895456E+04,9.363749E+03,9.779587E-01,7.226116E-01,6.094099E+04,0.000000E+00,3.140484E+00,0.000000E+00,5.386668E+03,0.000000E+00,2.779562E-01,0.000000E+00,1.013894E+04,0.000000E+00,5.232436E-01,0.000000E+00,9.096307E+03,1.684816E+04,4.694354E-01,1.299963E+00,2.053619E+04,4.264398E+03,1.059858E+00,3.290220E-01,6.179814E+04,0.000000E+00,3.184658E+00,0.000000E+00,5.683966E+03,1.238659E+00,2.932969E-01,9.556008E-05,8.470739E+03,1.574940E+03,4.371540E-01,1.215077E-01
01:10:00,2.036597E+04,0.000000E+00,1.051073E+00,0.000000E+00,8.758158E+03,4.542220E+03,4.519847E-01,3.505016E-01,3.025963E+04,5.480428E+03,1.561468E+00,4.228706E-01,6.644469E+04,0.000000E+00,3.423903E+00,0.000000E+00,7.212674E+03,1.123572E+02,3.721337E-01,8.668460E-03,1.926217E+04,3.497275E+03,9.939355E-01,2.698366E-01,1.895459E+04,9.322112E+03,9.779604E-01,7.193978E-01,6.094099E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386670E+03,0.000000E+00,2.779563E-01,0.000000E+00,1.013894E+04,0.000000E+00,5.232438E-01,0.000000E+00,9.096317E+03,1.683700E+04,4.694359E-01,1.299100E+00,2.053623E+04,4.259959E+03,1.059860E+00,3.286787E-01,6.179815E+04,0.000000E+00,3.184659E+00,0.000000E+00,5.683972E+03,0.000000E+00,2.932972E-01,0.000000E+00,8.470748E+03,1.611964E+03,4.371545E-01,1.243644E-01
01:20:00,2.036598E+04,0.000000E+00,1.051074E+00,0.000000E+00,8.758184E+03,4.530478E+03,4.519860E-01,3.495903E-01,3.025968E+04,5.418039E+03,1.561471E+00,4.180553E-01,6.644471E+04,0.000000E+00,3.423904E+00,0.000000E+00,7.212683E+03,9.289291E+01,3.721342E-01,7.166744E-03,1.926220E+04,3.457716E+03,9.939369E-01,2.667846E-01,1.895463E+04,9.280898E+03,9.779621E-01,7.162166E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386672E+03,0.000000E+00,2.779564E-01,0.000000E+00,1.013895E+04,0.000000E+00,5.232439E-01,0.000000E+00,9.096327E+03,1.682467E+04,4.694364E-01,1.298147E+00,2.053626E+04,4.252027E+03,1.059862E+00,3.280657E-01,6.179816E+04,0.000000E+00,3.184660E+00,0.000000E+00,5.683978E+03,0.000000E+00,2.932975E-01,0.000000E+00,8.470756E+03,1.645558E+03,4.371549E-01,1.269565E-01
01:30:00,2.036599E+04,0.000000E+00,1.051075E+00,0.000000E+00,8.758210E+03,4.519476E+03,4.519874E-01,3.487364E-01,3.025974E+04,5.354030E+03,1.561473E+00,4.131151E-01,6.644472E+04,0.000000E+00,3.423905E+00,0.000000E+00,7.212691E+03,7.370095E+01,3.721346E-01,5.686048E-03,1.926223E+04,3.418527E+03,9.939382E-01,2.637610E-01,1.895466E+04,9.240412E+03,9.779637E-01,7.130917E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386674E+03,0.000000E+00,2.779565E-01,0.000000E+00,1.013895E+04,0.000000E+00,5.232440E-01,0.000000E+00,9.096336E+03,1.681140E+04,4.694369E-01,1.297122E+00,2.053630E+04,4.241055E+03,1.059864E+00,3.272182E-01,6.179817E+04,0.000000E+00,3.184660E+00,0.000000E+00,5.683984E+03,0.000000E+00,2.932978E-01,0.000000E+00,8.470765E+03,1.676414E+03,4.371554E-01,1.293372E-01
01:40:00,2.036601E+04,0.000000E+00,1.051075E+00,0.000000E+00,8.758235E+03,4.509069E+03,4.519887E-01,3.479292E-01,3.025979E+04,5.288969E+03,1.561476E+00,4.080938E-01,6.644473E+04,0.000000E+00,3.423906E+00,0.000000E+00,7.212700E+03,5.486906E+01,3.721350E-01,4.233145E-03,1.926225E+04,3.380036E+03,9.939395E-01,2.607913E-01,1.895469E+04,9.200892E+03,9.779652E-01,7.100414E-01,6.094100E+04,0.000000E+00,3.140485E+00,0.000000E+00,5.386676E+03,0.000000E+00,2.779566E-01,0.000000E+00,1.013895E+04,0.000000E+00,5.232441E-01,0.000000E+00,9.096344E+03,1.679744E+04,4.694373E-01,1.296043E+00,2.053633E+04,4.227608E+03,1.059866E+00,3.261799E-01,6.179818E+04,0.000000E+00,3.184661E+00,0.000000E+00,5.683990E+03,0.000000E+00,2.932981E-01,0.000000E+00,8.470774E+03,1.705083E+03,4.371558E-01,1.315493E-01
