Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.279625E+04,0.000000E+00,1.176499E+00,0.000000E+00,1.361051E+04,6.241469E+03,7.023976E-01,4.816743E-01,3.302767E+04,6.688841E+03,1.704304E+00,5.161256E-01,6.834746E+04,0.000000E+00,3.521953E+00,0.000000E+00,7.859328E+03,3.883043E+02,4.054968E-01,2.995934E-02,1.942696E+04,3.793920E+03,1.002438E+00,2.927207E-01,2.379665E+04,1.131857E+04,1.227771E+00,8.734588E-01,6.262219E+04,0.000000E+00,3.227125E+00,0.000000E+00,5.952296E+03,0.000000E+00,3.071427E-01,0.000000E+00,1.024994E+04,0.000000E+00,5.289719E-01,0.000000E+00,1.300769E+04,1.865666E+04,6.712881E-01,1.439516E+00,2.333359E+04,5.410679E+03,1.204230E+00,4.174743E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338747E+03,2.499397E+02,3.270838E-01,1.928315E-02,8.629112E+03,1.473520E+03,4.453271E-01,1.138356E-01
00:20:00,2.279627E+04,0.000000E+00,1.176499E+00,0.000000E+00,1.361052E+04,6.221150E+03,7.023978E-01,4.800985E-01,3.302773E+04,6.657590E+03,1.704307E+00,5.137140E-01,6.834747E+04,0.000000E+00,3.521953E+00,0.000000E+00,7.859336E+03,3.727698E+02,4.054972E-01,2.876087E-02,1.942699E+04,3.779777E+03,1.002440E+00,2.916307E-01,2.379667E+04,1.128987E+04,1.227772E+00,8.712486E-01,6.262219E+04,0.000000E+00,3.227125E+00,0.000000E+00,5.952296E+03,0.000000E+00,3.071428E-01,0.000000E+00,1.024994E+04,0.000000E+00,5.289721E-01,0.000000E+00,1.300769E+04,1.865719E+04,6.712880E-01,1.439556E+00,2.333362E+04,5.435287E+03,1.204232E+00,4.193720E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338751E+03,2.446913E+02,3.270840E-01,1.887824E-02,8.629120E+03,1.529021E+03,4.453275E-01,1.179658E-01
00:30:00,2.279628E+04,0.000000E+00,1.176500E+00,0.000000E+00,1.361052E+04,6.201261E+03,7.023980E-01,4.785560E-01,3.302779E+04,6.619548E+03,1.704310E+00,5.107781E-01,6.834747E+04,0.000000E+00,3.521954E+00,0.000000E+00,7.859344E+03,3.563539E+02,4.054976E-01,2.749434E-02,1.942702E+04,3.750908E+03,1.002441E+00,2.894044E-01,2.379668E+04,1.125608E+04,1.227772E+00,8.686442E-01,6.262219E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952297E+03,0.000000E+00,3.071428E-01,0.000000E+00,1.024995E+04,0.000000E+00,5.289722E-01,0.000000E+00,1.300769E+04,1.865390E+04,6.712879E-01,1.439300E+00,2.333365E+04,5.451469E+03,1.204233E+00,4.206194E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338755E+03,2.344235E+02,3.270842E-01,1.808610E-02,8.629129E+03,1.556208E+03,4.453279E-01,1.200621E-01
00:40:00,2.279629E+04,0.000000E+00,1.176500E+00,0.000000E+00,1.361053E+04,6.182105E+03,7.023982E-01,4.770701E-01,3.302785E+04,6.575785E+03,1.704313E+00,5.074005E-01,6.834748E+04,0.000000E+00,3.521954E+00,0.000000E+00,7.859351E+03,3.393159E+02,4.054980E-01,2.617980E-02,1.942705E+04,3.717783E+03,1.002443E+00,2.868494E-01,2.379669E+04,1.121800E+04,1.227773E+00,8.657069E-01,6.262218E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952297E+03,0.000000E+00,3.071428E-01,0.000000E+00,1.024995E+04,0.000000E+00,5.289723E-01,0.000000E+00,1.300769E+04,1.864735E+04,6.712878E-01,1.438793E+00,2.333368E+04,5.460326E+03,1.204235E+00,4.213014E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338759E+03,2.233399E+02,3.270844E-01,1.723099E-02,8.629137E+03,1.641765E+03,4.453284E-01,1.266631E-01
00:50:00,2.279629E+04,0.000000E+00,1.176501E+00,0.000000E+00,1.361053E+04,6.163946E+03,7.023984E-01,4.756610E-01,3.302790E+04,6.527322E+03,1.704316E+00,5.036601E-01,6.834749E+04,0.000000E+00,3.521954E+00,0.000000E+00,7.859358E+03,3.218201E+02,4.054983E-01,2.482990E-02,1.942708E+04,3.681236E+03,1.002444E+00,2.840303E-01,2.379670E+04,1.117634E+04,1.227774E+00,8.624923E-01,6.262218E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952297E+03,0.000000E+00,3.071428E-01,0.000000E+00,1.024995E+04,0.000000E+00,5.289724E-01,0.000000E+00,1.300769E+04,1.863795E+04,6.712876E-01,1.438066E+00,2.333371E+04,5.462699E+03,1.204236E+00,4.214831E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338762E+03,2.115370E+02,3.270846E-01,1.632038E-02,8.629145E+03,1.687599E+03,4.453288E-01,1.301996E-01
01:00:00,2.279630E+04,0.000000E+00,1.176501E+00,0.000000E+00,1.361053E+04,6.146967E+03,7.023985E-01,4.743426E-01,3.302795E+04,6.475065E+03,1.704318E+00,4.996268E-01,6.834749E+04,0.000000E+00,3.521955E+00,0.000000E+00,7.859364E+03,3.040105E+02,4.054987E-01,2.345577E-02,1.942711E+04,3.642085E+03,1.002446E+00,2.810099E-01,2.379671E+04,1.113167E+04,1.227774E+00,8.590451E-01,6.262218E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952297E+03,0.000000E+00,3.071428E-01,0.000000E+00,1.024995E+04,0.000000E+00,5.289725E-01,0.000000E+00,1.300768E+04,1.862606E+04,6.712874E-01,1.437147E+00,2.333373E+04,5.459370E+03,1.204238E+00,4.212247E-01,6.372801E+04,0.000000E+00,3.284113E+00,0.000000E+00,6.338766E+03,1.991637E+02,3.270848E-01,1.536575E-02,8.629153E+03,1.727236E+03,4.453292E-01,1.332580E-01
01:10:00,2.279632E+04,0.000000E+00,1.176502E+00,0.000000E+00,1.361056E+04,6.135183E+03,7.024000E-01,4.734249E-01,3.302801E+04,6.422003E+03,1.704321E+00,4.955312E-01,6.834751E+04,0.000000E+00,3.521955E+00,0.000000E+00,7.859374E+03,2.864589E+02,4.054991E-01,2.210154E-02,1.942714E+04,3.603585E+03,1.002447E+00,2.780398E-01,2.379675E+04,1.109321E+04,1.227776E+00,8.560762E-01,6.262218E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952300E+03,0.000000E+00,3.071429E-01,0.000000E+00,1.024995E+04,0.000000E+00,5.289726E-01,0.000000E+00,1.300769E+04,1.861372E+04,6.712880E-01,1.436193E+00,2.333377E+04,5.453070E+03,1.204240E+00,4.207371E-01,6.372802E+04,0.000000E+00,3.284114E+00,0.000000E+00,6.338772E+03,1.866832E+02,3.270851E-01,1.440285E-02,8.629162E+03,1.763779E+03,4.453297E-01,1.360775E-01
01:20:00,2.279633E+04,0.000000E+00,1.176503E+00,0.000000E+00,1.361059E+04,6.124245E+03,7.024015E-01,4.725720E-01,3.302807E+04,6.368034E+03,1.704324E+00,4.913656E-01,6.834753E+04,0.000000E+00,3.521956E+00,0.000000E+00,7.859383E+03,2.692865E+02,4.054996E-01,2.077656E-02,1.942716E+04,3.565069E+03,1.002449E+00,2.750683E-01,2.379679E+04,1.105404E+04,1.227778E+00,8.530526E-01,6.262218E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952302E+03,0.000000E+00,3.071430E-01,0.000000E+00,1.024996E+04,0.000000E+00,5.289727E-01,0.000000E+00,1.300770E+04,1.859985E+04,6.712886E-01,1.435120E+00,2.333381E+04,5.443341E+03,1.204241E+00,4.199848E-01,6.372803E+04,0.000000E+00,3.284115E+00,0.000000E+00,6.338779E+03,1.742010E+02,3.270854E-01,1.343981E-02,8.629171E+03,1.797092E+03,4.453301E-01,1.386480E-01
01:30:00,2.279634E+04,0.000000E+00,1.176503E+00,0.000000E+00,1.361062E+04,6.113081E+03,7.024030E-01,4.717023E-01,3.302813E+04,6.313409E+03,1.704327E+00,4.871494E-01,6.834754E+04,0.000000E+00,3.521957E+00,0.000000E+00,7.859392E+03,2.526284E+02,4.055001E-01,1.949127E-02,1.942719E+04,3.526936E+03,1.002450E+00,2.721262E-01,2.379682E+04,1.101443E+04,1.227780E+00,8.499957E-01,6.262219E+04,0.000000E+00,3.227124E+00,0.000000E+00,5.952304E+03,0.000000E+00,3.071431E-01,0.000000E+00,1.024996E+04,0.000000E+00,5.289728E-01,0.000000E+00,1.300771E+04,1.858454E+04,6.712891E-01,1.433937E+00,2.333384E+04,5.430574E+03,1.204243E+00,4.189982E-01,6.372804E+04,0.000000E+00,3.284115E+00,0.000000E+00,6.338785E+03,1.618093E+02,3.270857E-01,1.248376E-02,8.629180E+03,1.827837E+03,4.453306E-01,1.410202E-01
01:40:00,2.279636E+04,0.000000E+00,1.176504E+00,0.000000E+00,1.361065E+04,6.101514E+03,7.024044E-01,4.708028E-01,3.302818E+04,6.257529E+03,1.704330E+00,4.828364E-01,6.834755E+04,0.000000E+00,3.521958E+00,0.000000E+00,7.859400E+03,2.362172E+02,4.055005E-01,1.822502E-02,1.942721E+04,3.489505E+03,1.002451E+00,2.692384E-01,2.379686E+04,1.097465E+04,1.227782E+00,8.469249E-01,6.262219E+04,0.000000E+00,3.227125E+00,0.000000E+00,5.952306E+03,0.000000E+00,3.071432E-01,0.000000E+00,1.024996E+04,0.000000E+00,5.289729E-01,0.000000E+00,1.300772E+04,1.856797E+04,6.712896E-01,1.432658E+00,2.333387E+04,5.415292E+03,1.204245E+00,4.178177E-01,6.372805E+04,0.000000E+00,3.284116E+00,0.000000E+00,6.338791E+03,1.495869E+02,3.270861E-01,1.154076E-02,8.629188E+03,1.856540E+03,4.453310E-01,1.432349E-01
