Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.771601E+04,0.000000E+00,1.429968E+00,0.000000E+00,1.696901E+04,8.451635E+03,8.753960E-01,6.526959E-01,5.299019E+04,0.000000E+00,2.730451E+00,0.000000E+00,6.076710E+04,1.839558E+03,3.135259E+00,1.419495E-01,1.746699E+04,2.658096E+03,9.010984E-01,2.051868E-01
00:20:00,2.771602E+04,0.000000E+00,1.429969E+00,0.000000E+00,1.696902E+04,8.426779E+03,8.753963E-01,6.507807E-01,5.299020E+04,0.000000E+00,2.730451E+00,0.000000E+00,6.076714E+04,1.530065E+03,3.135261E+00,1.180653E-01,1.746700E+04,2.632078E+03,9.010989E-01,2.031808E-01
00:30:00,2.771604E+04,0.000000E+00,1.429969E+00,0.000000E+00,1.696902E+04,8.393920E+03,8.753966E-01,6.482450E-01,5.299020E+04,0.000000E+00,2.730451E+00,0.000000E+00,6.076717E+04,1.212311E+03,3.135263E+00,9.354455E-02,1.746701E+04,2.597700E+03,9.010993E-01,2.005283E-01
00:40:00,2.771605E+04,0.000000E+00,1.429970E+00,0.000000E+00,1.696903E+04,8.355071E+03,8.753968E-01,6.452451E-01,5.299020E+04,0.000000E+00,2.730451E+00,0.000000E+00,6.076720E+04,8.899117E+02,3.135265E+00,6.866623E-02,1.746702E+04,2.556879E+03,9.010997E-01,1.973776E-01
00:50:00,2.771606E+04,0.000000E+00,1.429971E+00,0.000000E+00,1.696903E+04,8.311368E+03,8.753970E-01,6.418694E-01,5.299021E+04,0.000000E+00,2.730452E+00,0.000000E+00,6.076723E+04,5.890324E+02,3.135266E+00,4.544924E-02,1.746702E+04,2.510740E+03,9.011001E-01,1.938157E-01
01:00:00,2.771606E+04,0.000000E+00,1.429971E+00,0.000000E+00,1.696903E+04,8.264023E+03,8.753972E-01,6.382119E-01,5.299021E+04,0.000000E+00,2.730452E+00,0.000000E+00,6.076725E+04,3.312056E+02,3.135267E+00,2.555476E-02,1.746703E+04,2.460483E+03,9.011004E-01,1.899355E-01
01:10:00,2.771609E+04,0.000000E+00,1.429972E+00,0.000000E+00,1.696904E+04,8.216046E+03,8.753976E-01,6.345053E-01,5.299022E+04,0.000000E+00,2.730452E+00,0.000000E+00,6.076729E+04,1.837405E+02,3.135269E+00,1.417631E-02,1.746704E+04,2.413674E+03,9.011009E-01,1.863211E-01
01:20:00,2.771611E+04,0.000000E+00,1.429973E+00,0.000000E+00,1.696905E+04,8.167121E+03,8.753980E-01,6.307254E-01,5.299024E+04,0.000000E+00,2.730453E+00,0.000000E+00,6.076733E+04,8.028480E+01,3.135271E+00,6.194170E-03,1.746705E+04,2.365627E+03,9.011014E-01,1.826112E-01
01:30:00,2.771612E+04,0.000000E+00,1.429974E+00,0.000000E+00,1.696906E+04,8.117711E+03,8.753984E-01,6.269080E-01,5.299025E+04,0.000000E+00,2.730454E+00,0.000000E+00,6.076737E+04,1.888870E+01,3.135273E+00,1.457279E-03,1.746706E+04,2.316789E+03,9.011019E-01,1.788402E-01
01:40:00,2.771614E+04,0.000000E+00,1.429975E+00,0.000000E+00,1.696906E+04,8.068396E+03,8.753988E-01,6.230981E-01,5.299027E+04,0.000000E+00,2.730455E+00,0.000000E+00,6.076741E+04,0.000000E+00,3.135275E+00,0.000000E+00,1.746707E+04,2.267747E+03,9.011023E-01,1.750533E-01
01:50:00,2.771616E+04,0.000000E+00,1.429976E+00,0.000000E+00,1.696907E+04,8.019503E+03,8.753991E-01,6.193208E-01,5.299028E+04,0.000000E+00,2.730455E+00,0.000000E+00,6.076744E+04,0.000000E+00,3.135277E+00,0.000000E+00,1.746707E+04,2.218843E+03,9.011028E-01,1.712771E-01
02:00:00,2.771617E+04,0.000000E+00,1.429976E+00,0.000000E+00,1.696908E+04,7.971401E+03,8.753994E-01,6.156047E-01,5.299029E+04,0.000000E+00,2.730456E+00,0.000000E+00,6.076747E+04,0.000000E+00,3.135278E+00,0.000000E+00,1.746708E+04,2.170454E+03,9.011031E-01,1.675407E-01
02:10:00,2.771618E+04,0.000000E+00,1.429977E+00,0.000000E+00,1.696908E+04,7.923201E+03,8.753997E-01,6.118811E-01,5.299031E+04,0.000000E+00,2.730457E+00,0.000000E+00,6.076750E+04,0.000000E+00,3.135280E+00,0.000000E+00,1.746709E+04,2.121705E+03,9.011035E-01,1.637764E-01
02:20:00,2.771620E+04,0.000000E+00,1.429978E+00,0.000000E+00,1.696909E+04,7.875128E+03,8.754000E-01,6.081673E-01,5.299032E+04,0.000000E+00,2.730457E+00,0.000000E+00,6.076752E+04,0.000000E+00,3.135281E+00,0.000000E+00,1.746710E+04,2.072825E+03,9.011038E-01,1.600021E-01
02:30:00,2.771621E+04,0.000000E+00,1.429978E+00,0.000000E+00,1.696909E+04,7.827337E+03,8.754002E-01,6.044752E-01,5.299033E+04,0.000000E+00,2.730458E+00,0.000000E+00,6.076755E+04,0.000000E+00,3.135282E+00,0.000000E+00,1.746710E+04,2.023984E+03,9.011042E-01,1.562308E-01
02:40:00,2.771622E+04,0.000000E+00,1.429979E+00,0.000000E+00,1.696910E+04,7.779994E+03,8.754005E-01,6.008179E-01,5.299034E+04,0.000000E+00,2.730458E+00,0.000000E+00,6.076757E+04,0.000000E+00,3.135284E+00,0.000000E+00,1.746711E+04,1.975360E+03,9.011045E-01,1.524763E-01
02:50:00,2.771623E+04,0.000000E+00,1.429980E+00,0.000000E+00,1.696910E+04,7.733210E+03,8.754007E-01,5.972037E-01,5.299035E+04,0.000000E+00,2.730459E+00,0.000000E+00,6.076760E+04,0.000000E+00,3.135285E+00,0.000000E+00,1.746711E+04,1.927082E+03,9.011047E-01,1.487486E-01
