Time,THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.503811E+05,0.000000E+00,7.756803E+00,0.000000E+00,1.113658E+04,0.000000E+00,5.746233E-01,0.000000E+00,2.631023E+04,5.135441E+03,1.357098E+00,3.963139E-01,2.626625E+04,5.287050E+01,1.354829E+00,4.078889E-03,7.172333E+04,8.155109E+03,3.700423E+00,6.292623E-01,1.398181E+04,8.535696E+03,7.214040E-01,6.587701E-01,1.842599E+04,0.000000E+00,9.505077E-01,0.000000E+00,1.188784E+05,1.786312E+01,6.133126E+00,1.378101E-03,6.336120E+03,0.000000E+00,3.270060E-01,0.000000E+00,1.485204E+05,2.804065E+04,7.660749E+00,2.163817E+00,1.083862E+04,0.000000E+00,5.592484E-01,0.000000E+00,1.072988E+04,0.000000E+00,5.536377E-01,0.000000E+00,1.784707E+04,2.929734E+03,9.207766E-01,2.260624E-01,1.780851E+04,0.000000E+00,9.187873E-01,0.000000E+00,3.913588E+04,0.000000E+00,2.019674E+00,0.000000E+00,6.263167E+03,6.140800E+03,3.232409E-01,4.738622E-01
00:20:00,1.503812E+05,0.000000E+00,7.756807E+00,0.000000E+00,1.113660E+04,0.000000E+00,5.746241E-01,0.000000E+00,2.631027E+04,5.104086E+03,1.357100E+00,3.938944E-01,2.626628E+04,4.407686E+01,1.354831E+00,3.400466E-03,7.172344E+04,8.090284E+03,3.700429E+00,6.242598E-01,1.398184E+04,8.510874E+03,7.214054E-01,6.568482E-01,1.842601E+04,0.000000E+00,9.505090E-01,0.000000E+00,1.188785E+05,1.682985E+01,6.133130E+00,1.298385E-03,6.336126E+03,0.000000E+00,3.270064E-01,0.000000E+00,1.485205E+05,2.787312E+04,7.660753E+00,2.150896E+00,1.083863E+04,0.000000E+00,5.592489E-01,0.000000E+00,1.072989E+04,0.000000E+00,5.536381E-01,0.000000E+00,1.784708E+04,2.918813E+03,9.207772E-01,2.252198E-01,1.780852E+04,0.000000E+00,9.187878E-01,0.000000E+00,3.913591E+04,0.000000E+00,2.019676E+00,0.000000E+00,6.263176E+03,6.137273E+03,3.232413E-01,4.735824E-01
00:30:00,1.503813E+05,0.000000E+00,7.756811E+00,0.000000E+00,1.113661E+04,0.000000E+00,5.746248E-01,0.000000E+00,2.631030E+04,5.072175E+03,1.357101E+00,3.914315E-01,2.626631E+04,2.814892E+01,1.354833E+00,2.171652E-03,7.172356E+04,8.022483E+03,3.700435E+00,6.190274E-01,1.398187E+04,8.486069E+03,7.214068E-01,6.549258E-01,1.842604E+04,0.000000E+00,9.505103E-01,0.000000E+00,1.188786E+05,0.000000E+00,6.133134E+00,0.000000E+00,6.336132E+03,0.000000E+00,3.270066E-01,0.000000E+00,1.485206E+05,2.769586E+04,7.660756E+00,2.137221E+00,1.083863E+04,0.000000E+00,5.592494E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536385E-01,0.000000E+00,1.784709E+04,2.906383E+03,9.207777E-01,2.242606E-01,1.780853E+04,0.000000E+00,9.187884E-01,0.000000E+00,3.913595E+04,0.000000E+00,2.019678E+00,0.000000E+00,6.263184E+03,6.132643E+03,3.232418E-01,4.732181E-01
00:40:00,1.503813E+05,0.000000E+00,7.756814E+00,0.000000E+00,1.113663E+04,0.000000E+00,5.746255E-01,0.000000E+00,2.631033E+04,5.039847E+03,1.357103E+00,3.889361E-01,2.626634E+04,1.541457E+01,1.354834E+00,1.189212E-03,7.172367E+04,7.952421E+03,3.700441E+00,6.136204E-01,1.398189E+04,8.461241E+03,7.214081E-01,6.529979E-01,1.842606E+04,0.000000E+00,9.505115E-01,0.000000E+00,1.188786E+05,0.000000E+00,6.133138E+00,0.000000E+00,6.336137E+03,0.000000E+00,3.270069E-01,0.000000E+00,1.485206E+05,2.751207E+04,7.660760E+00,2.123041E+00,1.083864E+04,0.000000E+00,5.592498E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536389E-01,0.000000E+00,1.784710E+04,2.892683E+03,9.207783E-01,2.232034E-01,1.780854E+04,0.000000E+00,9.187889E-01,0.000000E+00,3.913599E+04,0.000000E+00,2.019680E+00,0.000000E+00,6.263192E+03,6.127158E+03,3.232422E-01,4.727868E-01
00:50:00,1.503814E+05,0.000000E+00,7.756818E+00,0.000000E+00,1.113664E+04,0.000000E+00,5.746262E-01,0.000000E+00,2.631036E+04,5.007239E+03,1.357105E+00,3.864190E-01,2.626637E+04,6.290011E+00,1.354836E+00,4.852642E-04,7.172378E+04,7.880728E+03,3.700447E+00,6.080873E-01,1.398192E+04,8.436413E+03,7.214094E-01,6.510668E-01,1.842608E+04,0.000000E+00,9.505126E-01,0.000000E+00,1.188787E+05,0.000000E+00,6.133142E+00,0.000000E+00,6.336142E+03,0.000000E+00,3.270072E-01,0.000000E+00,1.485207E+05,2.732419E+04,7.660763E+00,2.108544E+00,1.083865E+04,0.000000E+00,5.592503E-01,0.000000E+00,1.072991E+04,0.000000E+00,5.536393E-01,0.000000E+00,1.784711E+04,2.877919E+03,9.207788E-01,2.220639E-01,1.780855E+04,0.000000E+00,9.187895E-01,0.000000E+00,3.913602E+04,0.000000E+00,2.019682E+00,0.000000E+00,6.263199E+03,6.120964E+03,3.232426E-01,4.722993E-01
01:00:00,1.503815E+05,0.000000E+00,7.756821E+00,0.000000E+00,1.113665E+04,0.000000E+00,5.746269E-01,0.000000E+00,2.631039E+04,4.974467E+03,1.357106E+00,3.838890E-01,2.626640E+04,1.243550E+00,1.354837E+00,9.593758E-05,7.172388E+04,7.807916E+03,3.700452E+00,6.024679E-01,1.398194E+04,8.411856E+03,7.214106E-01,6.491547E-01,1.842610E+04,0.000000E+00,9.505138E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133145E+00,0.000000E+00,6.336147E+03,0.000000E+00,3.270074E-01,0.000000E+00,1.485207E+05,2.713398E+04,7.660766E+00,2.093865E+00,1.083866E+04,0.000000E+00,5.592507E-01,0.000000E+00,1.072992E+04,0.000000E+00,5.536396E-01,0.000000E+00,1.784712E+04,2.862266E+03,9.207793E-01,2.208558E-01,1.780856E+04,0.000000E+00,9.187900E-01,0.000000E+00,3.913606E+04,0.000000E+00,2.019684E+00,0.000000E+00,6.263207E+03,6.114189E+03,3.232429E-01,4.717661E-01
01:10:00,1.503815E+05,0.000000E+00,7.756824E+00,0.000000E+00,1.113667E+04,0.000000E+00,5.746275E-01,0.000000E+00,2.631042E+04,4.947759E+03,1.357108E+00,3.818270E-01,2.626643E+04,0.000000E+00,1.354839E+00,0.000000E+00,7.172398E+04,7.736198E+03,3.700457E+00,5.969328E-01,1.398196E+04,8.395101E+03,7.214118E-01,6.478444E-01,1.842612E+04,0.000000E+00,9.505149E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133148E+00,0.000000E+00,6.336152E+03,0.000000E+00,3.270077E-01,0.000000E+00,1.485208E+05,2.695061E+04,7.660769E+00,2.079714E+00,1.083867E+04,0.000000E+00,5.592511E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536400E-01,0.000000E+00,1.784713E+04,2.852069E+03,9.207798E-01,2.200686E-01,1.780857E+04,0.000000E+00,9.187905E-01,0.000000E+00,3.913609E+04,0.000000E+00,2.019685E+00,0.000000E+00,6.263214E+03,6.115669E+03,3.232433E-01,4.718693E-01
01:20:00,1.503816E+05,0.000000E+00,7.756827E+00,0.000000E+00,1.113668E+04,0.000000E+00,5.746282E-01,0.000000E+00,2.631044E+04,4.921812E+03,1.357109E+00,3.798238E-01,2.626646E+04,0.000000E+00,1.354840E+00,0.000000E+00,7.172408E+04,7.665513E+03,3.700462E+00,5.914772E-01,1.398199E+04,8.378755E+03,7.214130E-01,6.465654E-01,1.842614E+04,0.000000E+00,9.505159E-01,0.000000E+00,1.188789E+05,0.000000E+00,6.133152E+00,0.000000E+00,6.336156E+03,0.000000E+00,3.270079E-01,0.000000E+00,1.485208E+05,2.677143E+04,7.660771E+00,2.065887E+00,1.083868E+04,0.000000E+00,5.592515E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536403E-01,0.000000E+00,1.784714E+04,2.841967E+03,9.207803E-01,2.192889E-01,1.780858E+04,0.000000E+00,9.187910E-01,0.000000E+00,3.913613E+04,0.000000E+00,2.019687E+00,0.000000E+00,6.263221E+03,6.117247E+03,3.232437E-01,4.719797E-01
01:30:00,1.503816E+05,0.000000E+00,7.756830E+00,0.000000E+00,1.113669E+04,0.000000E+00,5.746288E-01,0.000000E+00,2.631047E+04,4.896676E+03,1.357110E+00,3.778833E-01,2.626648E+04,0.000000E+00,1.354842E+00,0.000000E+00,7.172418E+04,7.596086E+03,3.700467E+00,5.861190E-01,1.398201E+04,8.362500E+03,7.214141E-01,6.452970E-01,1.842616E+04,0.000000E+00,9.505170E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133155E+00,0.000000E+00,6.336160E+03,0.000000E+00,3.270081E-01,0.000000E+00,1.485209E+05,2.659727E+04,7.660774E+00,2.052446E+00,1.083868E+04,0.000000E+00,5.592519E-01,0.000000E+00,1.072994E+04,0.000000E+00,5.536407E-01,0.000000E+00,1.784715E+04,2.831979E+03,9.207808E-01,2.185179E-01,1.780859E+04,0.000000E+00,9.187914E-01,0.000000E+00,3.913616E+04,0.000000E+00,2.019689E+00,0.000000E+00,6.263227E+03,6.118247E+03,3.232440E-01,4.720473E-01
01:40:00,1.503817E+05,0.000000E+00,7.756833E+00,0.000000E+00,1.113670E+04,0.000000E+00,5.746295E-01,0.000000E+00,2.631050E+04,4.872405E+03,1.357112E+00,3.760098E-01,2.626651E+04,0.000000E+00,1.354843E+00,0.000000E+00,7.172427E+04,7.528181E+03,3.700472E+00,5.808783E-01,1.398203E+04,8.346386E+03,7.214153E-01,6.440446E-01,1.842618E+04,0.000000E+00,9.505180E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133158E+00,0.000000E+00,6.336164E+03,0.000000E+00,3.270083E-01,0.000000E+00,1.485210E+05,2.642878E+04,7.660777E+00,2.039444E+00,1.083869E+04,0.000000E+00,5.592523E-01,0.000000E+00,1.072995E+04,0.000000E+00,5.536410E-01,0.000000E+00,1.784716E+04,2.822184E+03,9.207813E-01,2.177619E-01,1.780860E+04,0.000000E+00,9.187919E-01,0.000000E+00,3.913619E+04,0.000000E+00,2.019690E+00,0.000000E+00,6.263234E+03,6.118644E+03,3.232444E-01,4.720709E-01
