Time,THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.503811E+05,0.000000E+00,7.756803E+00,0.000000E+00,1.113658E+04,6.769145E+00,5.746233E-01,5.222532E-04,2.631023E+04,5.218937E+03,1.357098E+00,4.027600E-01,2.626625E+04,1.774860E+02,1.354829E+00,1.369302E-02,7.172333E+04,8.093450E+03,3.700423E+00,6.245041E-01,1.398181E+04,8.503358E+03,7.214040E-01,6.562712E-01,1.842599E+04,0.000000E+00,9.505077E-01,0.000000E+00,1.188784E+05,7.486198E+01,6.133126E+00,5.775488E-03,6.336120E+03,0.000000E+00,3.270060E-01,0.000000E+00,1.485204E+05,2.811289E+04,7.660749E+00,2.169393E+00,1.083862E+04,0.000000E+00,5.592484E-01,0.000000E+00,1.072988E+04,0.000000E+00,5.536377E-01,0.000000E+00,1.784707E+04,3.053952E+03,9.207766E-01,2.356480E-01,1.780851E+04,0.000000E+00,9.187873E-01,0.000000E+00,3.913588E+04,0.000000E+00,2.019674E+00,0.000000E+00,6.263167E+03,6.106872E+03,3.232409E-01,4.712441E-01
00:20:00,1.503812E+05,0.000000E+00,7.756807E+00,0.000000E+00,1.113660E+04,1.041062E+01,5.746241E-01,8.031862E-04,2.631027E+04,5.188201E+03,1.357100E+00,4.003883E-01,2.626628E+04,1.588338E+02,1.354831E+00,1.225402E-02,7.172344E+04,8.030499E+03,3.700429E+00,6.196462E-01,1.398184E+04,8.477852E+03,7.214054E-01,6.542958E-01,1.842601E+04,0.000000E+00,9.505090E-01,0.000000E+00,1.188785E+05,4.386678E+01,6.133130E+00,3.384245E-03,6.336126E+03,0.000000E+00,3.270064E-01,0.000000E+00,1.485205E+05,2.795036E+04,7.660753E+00,2.156857E+00,1.083863E+04,0.000000E+00,5.592489E-01,0.000000E+00,1.072989E+04,0.000000E+00,5.536381E-01,0.000000E+00,1.784708E+04,3.041927E+03,9.207772E-01,2.347201E-01,1.780852E+04,0.000000E+00,9.187878E-01,0.000000E+00,3.913591E+04,0.000000E+00,2.019676E+00,0.000000E+00,6.263176E+03,6.103852E+03,3.232413E-01,4.710035E-01
00:30:00,1.503813E+05,0.000000E+00,7.756811E+00,0.000000E+00,1.113661E+04,1.598287E+01,5.746248E-01,1.233074E-03,2.631030E+04,5.156886E+03,1.357101E+00,3.979713E-01,2.626631E+04,1.353839E+02,1.354833E+00,1.044485E-02,7.172356E+04,7.964382E+03,3.700435E+00,6.145438E-01,1.398187E+04,8.452539E+03,7.214068E-01,6.523334E-01,1.842604E+04,0.000000E+00,9.505103E-01,0.000000E+00,1.188786E+05,5.007889E+00,6.133134E+00,3.863504E-04,6.336132E+03,0.000000E+00,3.270066E-01,0.000000E+00,1.485206E+05,2.777758E+04,7.660756E+00,2.143528E+00,1.083863E+04,0.000000E+00,5.592494E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536385E-01,0.000000E+00,1.784709E+04,3.028451E+03,9.207777E-01,2.336802E-01,1.780853E+04,0.000000E+00,9.187884E-01,0.000000E+00,3.913595E+04,0.000000E+00,2.019678E+00,0.000000E+00,6.263184E+03,6.099718E+03,3.232418E-01,4.706774E-01
00:40:00,1.503813E+05,0.000000E+00,7.756814E+00,0.000000E+00,1.113663E+04,2.187595E+01,5.746255E-01,1.687715E-03,2.631033E+04,5.125123E+03,1.357103E+00,3.955195E-01,2.626634E+04,1.107329E+02,1.354834E+00,8.543010E-03,7.172367E+04,7.895846E+03,3.700441E+00,6.092546E-01,1.398189E+04,8.427408E+03,7.214081E-01,6.503822E-01,1.842606E+04,0.000000E+00,9.505115E-01,0.000000E+00,1.188786E+05,0.000000E+00,6.133138E+00,0.000000E+00,6.336137E+03,0.000000E+00,3.270069E-01,0.000000E+00,1.485206E+05,2.759779E+04,7.660760E+00,2.129657E+00,1.083864E+04,0.000000E+00,5.592498E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536389E-01,0.000000E+00,1.784710E+04,3.013747E+03,9.207783E-01,2.325454E-01,1.780854E+04,0.000000E+00,9.187889E-01,0.000000E+00,3.913599E+04,0.000000E+00,2.019680E+00,0.000000E+00,6.263192E+03,6.094718E+03,3.232422E-01,4.702836E-01
00:50:00,1.503814E+05,0.000000E+00,7.756818E+00,0.000000E+00,1.113664E+04,2.788416E+01,5.746262E-01,2.151236E-03,2.631036E+04,5.093044E+03,1.357105E+00,3.930432E-01,2.626637E+04,8.524308E+01,1.354836E+00,6.576461E-03,7.172378E+04,7.825545E+03,3.700447E+00,6.038290E-01,1.398192E+04,8.402536E+03,7.214094E-01,6.484483E-01,1.842608E+04,0.000000E+00,9.505126E-01,0.000000E+00,1.188787E+05,0.000000E+00,6.133142E+00,0.000000E+00,6.336142E+03,0.000000E+00,3.270072E-01,0.000000E+00,1.485207E+05,2.741349E+04,7.660763E+00,2.115435E+00,1.083865E+04,0.000000E+00,5.592503E-01,0.000000E+00,1.072991E+04,0.000000E+00,5.536393E-01,0.000000E+00,1.784711E+04,2.998012E+03,9.207788E-01,2.313310E-01,1.780855E+04,0.000000E+00,9.187895E-01,0.000000E+00,3.913602E+04,0.000000E+00,2.019682E+00,0.000000E+00,6.263199E+03,6.088999E+03,3.232426E-01,4.698329E-01
01:00:00,1.503815E+05,0.000000E+00,7.756821E+00,0.000000E+00,1.113665E+04,3.355969E+01,5.746269E-01,2.589065E-03,2.631039E+04,5.060762E+03,1.357106E+00,3.905509E-01,2.626640E+04,6.068421E+01,1.354837E+00,4.681746E-03,7.172388E+04,7.754009E+03,3.700452E+00,5.983080E-01,1.398194E+04,8.377961E+03,7.214106E-01,6.465357E-01,1.842610E+04,0.000000E+00,9.505138E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133145E+00,0.000000E+00,6.336147E+03,0.000000E+00,3.270074E-01,0.000000E+00,1.485207E+05,2.722646E+04,7.660766E+00,2.101002E+00,1.083866E+04,0.000000E+00,5.592507E-01,0.000000E+00,1.072992E+04,0.000000E+00,5.536396E-01,0.000000E+00,1.784712E+04,2.981412E+03,9.207793E-01,2.300498E-01,1.780856E+04,0.000000E+00,9.187900E-01,0.000000E+00,3.913606E+04,0.000000E+00,2.019684E+00,0.000000E+00,6.263207E+03,6.082690E+03,3.232429E-01,4.693357E-01
01:10:00,1.503815E+05,0.000000E+00,7.756824E+00,0.000000E+00,1.113667E+04,3.324257E+01,5.746275E-01,2.564602E-03,2.631042E+04,5.034491E+03,1.357108E+00,3.885226E-01,2.626643E+04,3.998592E+01,1.354839E+00,3.084880E-03,7.172398E+04,7.683469E+03,3.700457E+00,5.928638E-01,1.398196E+04,8.361286E+03,7.214118E-01,6.452323E-01,1.842612E+04,0.000000E+00,9.505149E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133148E+00,0.000000E+00,6.336152E+03,0.000000E+00,3.270077E-01,0.000000E+00,1.485208E+05,2.704592E+04,7.660769E+00,2.087071E+00,1.083867E+04,0.000000E+00,5.592511E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536400E-01,0.000000E+00,1.784713E+04,2.970283E+03,9.207798E-01,2.291907E-01,1.780857E+04,0.000000E+00,9.187905E-01,0.000000E+00,3.913609E+04,0.000000E+00,2.019685E+00,0.000000E+00,6.263214E+03,6.084635E+03,3.232433E-01,4.694748E-01
01:20:00,1.503816E+05,0.000000E+00,7.756827E+00,0.000000E+00,1.113668E+04,3.596623E+01,5.746282E-01,2.774728E-03,2.631044E+04,5.008927E+03,1.357109E+00,3.865489E-01,2.626646E+04,2.338230E+01,1.354840E+00,1.803920E-03,7.172408E+04,7.613880E+03,3.700462E+00,5.874929E-01,1.398199E+04,8.345073E+03,7.214130E-01,6.439641E-01,1.842614E+04,0.000000E+00,9.505159E-01,0.000000E+00,1.188789E+05,0.000000E+00,6.133152E+00,0.000000E+00,6.336156E+03,0.000000E+00,3.270079E-01,0.000000E+00,1.485208E+05,2.686926E+04,7.660771E+00,2.073437E+00,1.083868E+04,0.000000E+00,5.592515E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536403E-01,0.000000E+00,1.784714E+04,2.959262E+03,9.207803E-01,2.283400E-01,1.780858E+04,0.000000E+00,9.187910E-01,0.000000E+00,3.913613E+04,0.000000E+00,2.019687E+00,0.000000E+00,6.263221E+03,6.086672E+03,3.232437E-01,4.696207E-01
01:30:00,1.503816E+05,0.000000E+00,7.756830E+00,0.000000E+00,1.113669E+04,3.680543E+01,5.746288E-01,2.839472E-03,2.631047E+04,4.984127E+03,1.357110E+00,3.846342E-01,2.626648E+04,1.107168E+01,1.354842E+00,8.541659E-04,7.172418E+04,7.545482E+03,3.700467E+00,5.822140E-01,1.398201E+04,8.328991E+03,7.214141E-01,6.427095E-01,1.842616E+04,0.000000E+00,9.505170E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133155E+00,0.000000E+00,6.336160E+03,0.000000E+00,3.270081E-01,0.000000E+00,1.485209E+05,2.669732E+04,7.660774E+00,2.060168E+00,1.083868E+04,0.000000E+00,5.592519E-01,0.000000E+00,1.072994E+04,0.000000E+00,5.536407E-01,0.000000E+00,1.784715E+04,2.948364E+03,9.207808E-01,2.274988E-01,1.780859E+04,0.000000E+00,9.187914E-01,0.000000E+00,3.913616E+04,0.000000E+00,2.019689E+00,0.000000E+00,6.263227E+03,6.088127E+03,3.232440E-01,4.697235E-01
01:40:00,1.503817E+05,0.000000E+00,7.756833E+00,0.000000E+00,1.113670E+04,3.726672E+01,5.746295E-01,2.875061E-03,2.631050E+04,4.960145E+03,1.357112E+00,3.827829E-01,2.626651E+04,3.227482E+00,1.354843E+00,2.489952E-04,7.172427E+04,7.478553E+03,3.700472E+00,5.770486E-01,1.398203E+04,8.313073E+03,7.214153E-01,6.414725E-01,1.842618E+04,0.000000E+00,9.505180E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133158E+00,0.000000E+00,6.336164E+03,0.000000E+00,3.270083E-01,0.000000E+00,1.485210E+05,2.653080E+04,7.660777E+00,2.047317E+00,1.083869E+04,0.000000E+00,5.592523E-01,0.000000E+00,1.072995E+04,0.000000E+00,5.536410E-01,0.000000E+00,1.784716E+04,2.937667E+03,9.207813E-01,2.266732E-01,1.780860E+04,0.000000E+00,9.187919E-01,0.000000E+00,3.913619E+04,0.000000E+00,2.019690E+00,0.000000E+00,6.263234E+03,6.088974E+03,3.232444E-01,4.697819E-01
