Time,THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 16:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:YAKUTSK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.503811E+05,0.000000E+00,7.756803E+00,0.000000E+00,1.113658E+04,9.902245E+01,5.746233E-01,7.641350E-03,2.631023E+04,5.248391E+03,1.357098E+00,4.050337E-01,2.626625E+04,2.290289E+02,1.354829E+00,1.766966E-02,7.172333E+04,7.822987E+03,3.700423E+00,6.036321E-01,1.398181E+04,8.440779E+03,7.214040E-01,6.514331E-01,1.842599E+04,0.000000E+00,9.505077E-01,0.000000E+00,1.188784E+05,0.000000E+00,6.133126E+00,0.000000E+00,6.336120E+03,0.000000E+00,3.270060E-01,0.000000E+00,1.485204E+05,2.777731E+04,7.660749E+00,2.143494E+00,1.083862E+04,0.000000E+00,5.592484E-01,0.000000E+00,1.072988E+04,0.000000E+00,5.536377E-01,0.000000E+00,1.784707E+04,3.127644E+03,9.207766E-01,2.413346E-01,1.780851E+04,0.000000E+00,9.187873E-01,0.000000E+00,3.913588E+04,0.000000E+00,2.019674E+00,0.000000E+00,6.263167E+03,6.101672E+03,3.232409E-01,4.708428E-01
00:20:00,1.503812E+05,0.000000E+00,7.756807E+00,0.000000E+00,1.113660E+04,1.121454E+02,5.746241E-01,8.651875E-03,2.631027E+04,5.217876E+03,1.357100E+00,4.026790E-01,2.626628E+04,2.080592E+02,1.354831E+00,1.605188E-02,7.172344E+04,7.765233E+03,3.700429E+00,5.991753E-01,1.398184E+04,8.415416E+03,7.214054E-01,6.494698E-01,1.842601E+04,0.000000E+00,9.505090E-01,0.000000E+00,1.188785E+05,0.000000E+00,6.133130E+00,0.000000E+00,6.336126E+03,0.000000E+00,3.270064E-01,0.000000E+00,1.485205E+05,2.762968E+04,7.660753E+00,2.132109E+00,1.083863E+04,0.000000E+00,5.592489E-01,0.000000E+00,1.072989E+04,0.000000E+00,5.536381E-01,0.000000E+00,1.784708E+04,3.114353E+03,9.207772E-01,2.403090E-01,1.780852E+04,0.000000E+00,9.187878E-01,0.000000E+00,3.913591E+04,0.000000E+00,2.019676E+00,0.000000E+00,6.263176E+03,6.098526E+03,3.232413E-01,4.705925E-01
00:30:00,1.503813E+05,0.000000E+00,7.756811E+00,0.000000E+00,1.113661E+04,1.145360E+02,5.746248E-01,8.836320E-03,2.631030E+04,5.186760E+03,1.357101E+00,4.002774E-01,2.626631E+04,1.844592E+02,1.354833E+00,1.423111E-02,7.172356E+04,7.704007E+03,3.700435E+00,5.944505E-01,1.398187E+04,8.390291E+03,7.214068E-01,6.475233E-01,1.842604E+04,0.000000E+00,9.505103E-01,0.000000E+00,1.188786E+05,0.000000E+00,6.133134E+00,0.000000E+00,6.336132E+03,0.000000E+00,3.270066E-01,0.000000E+00,1.485206E+05,2.747105E+04,7.660756E+00,2.119872E+00,1.083863E+04,0.000000E+00,5.592494E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536385E-01,0.000000E+00,1.784709E+04,3.099682E+03,9.207777E-01,2.391769E-01,1.780853E+04,0.000000E+00,9.187884E-01,0.000000E+00,3.913595E+04,0.000000E+00,2.019678E+00,0.000000E+00,6.263184E+03,6.094291E+03,3.232418E-01,4.702587E-01
00:40:00,1.503813E+05,0.000000E+00,7.756814E+00,0.000000E+00,1.113663E+04,1.202683E+02,5.746255E-01,9.278570E-03,2.631033E+04,5.155177E+03,1.357103E+00,3.978395E-01,2.626634E+04,1.596772E+02,1.354834E+00,1.231914E-02,7.172367E+04,7.640160E+03,3.700441E+00,5.895232E-01,1.398189E+04,8.365478E+03,7.214081E-01,6.455977E-01,1.842606E+04,0.000000E+00,9.505115E-01,0.000000E+00,1.188786E+05,0.000000E+00,6.133138E+00,0.000000E+00,6.336137E+03,0.000000E+00,3.270069E-01,0.000000E+00,1.485206E+05,2.730473E+04,7.660760E+00,2.107039E+00,1.083864E+04,0.000000E+00,5.592498E-01,0.000000E+00,1.072990E+04,0.000000E+00,5.536389E-01,0.000000E+00,1.784710E+04,3.083842E+03,9.207783E-01,2.379544E-01,1.780854E+04,0.000000E+00,9.187889E-01,0.000000E+00,3.913599E+04,0.000000E+00,2.019680E+00,0.000000E+00,6.263192E+03,6.089209E+03,3.232422E-01,4.698585E-01
00:50:00,1.503814E+05,0.000000E+00,7.756818E+00,0.000000E+00,1.113664E+04,1.215397E+02,5.746262E-01,9.376669E-03,2.631036E+04,5.123257E+03,1.357105E+00,3.953755E-01,2.626637E+04,1.341010E+02,1.354836E+00,1.034590E-02,7.172378E+04,7.574394E+03,3.700447E+00,5.844477E-01,1.398192E+04,8.340991E+03,7.214094E-01,6.436945E-01,1.842608E+04,0.000000E+00,9.505126E-01,0.000000E+00,1.188787E+05,0.000000E+00,6.133142E+00,0.000000E+00,6.336142E+03,0.000000E+00,3.270072E-01,0.000000E+00,1.485207E+05,2.713321E+04,7.660763E+00,2.093805E+00,1.083865E+04,0.000000E+00,5.592503E-01,0.000000E+00,1.072991E+04,0.000000E+00,5.536393E-01,0.000000E+00,1.784711E+04,3.067023E+03,9.207788E-01,2.366563E-01,1.780855E+04,0.000000E+00,9.187895E-01,0.000000E+00,3.913602E+04,0.000000E+00,2.019682E+00,0.000000E+00,6.263199E+03,6.083451E+03,3.232426E-01,4.694048E-01
01:00:00,1.503815E+05,0.000000E+00,7.756821E+00,0.000000E+00,1.113665E+04,1.215752E+02,5.746269E-01,9.379412E-03,2.631039E+04,5.091118E+03,1.357106E+00,3.928943E-01,2.626640E+04,1.079542E+02,1.354837E+00,8.328650E-03,7.172388E+04,7.507275E+03,3.700452E+00,5.792677E-01,1.398194E+04,8.316862E+03,7.214106E-01,6.418172E-01,1.842610E+04,0.000000E+00,9.505138E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133145E+00,0.000000E+00,6.336147E+03,0.000000E+00,3.270074E-01,0.000000E+00,1.485207E+05,2.695833E+04,7.660766E+00,2.080310E+00,1.083866E+04,0.000000E+00,5.592507E-01,0.000000E+00,1.072992E+04,0.000000E+00,5.536396E-01,0.000000E+00,1.784712E+04,3.049381E+03,9.207793E-01,2.352947E-01,1.780856E+04,0.000000E+00,9.187900E-01,0.000000E+00,3.913606E+04,0.000000E+00,2.019684E+00,0.000000E+00,6.263207E+03,6.077130E+03,3.232429E-01,4.689066E-01
01:10:00,1.503815E+05,0.000000E+00,7.756824E+00,0.000000E+00,1.113667E+04,1.214073E+02,5.746275E-01,9.366459E-03,2.631042E+04,5.064985E+03,1.357108E+00,3.908766E-01,2.626643E+04,8.203920E+01,1.354839E+00,6.329293E-03,7.172398E+04,7.441091E+03,3.700457E+00,5.741598E-01,1.398196E+04,8.300757E+03,7.214118E-01,6.405584E-01,1.842612E+04,0.000000E+00,9.505149E-01,0.000000E+00,1.188788E+05,0.000000E+00,6.133148E+00,0.000000E+00,6.336152E+03,0.000000E+00,3.270077E-01,0.000000E+00,1.485208E+05,2.678944E+04,7.660769E+00,2.067277E+00,1.083867E+04,0.000000E+00,5.592511E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536400E-01,0.000000E+00,1.784713E+04,3.037241E+03,9.207798E-01,2.343576E-01,1.780857E+04,0.000000E+00,9.187905E-01,0.000000E+00,3.913609E+04,0.000000E+00,2.019685E+00,0.000000E+00,6.263214E+03,6.079056E+03,3.232433E-01,4.690444E-01
01:20:00,1.503816E+05,0.000000E+00,7.756827E+00,0.000000E+00,1.113668E+04,1.207160E+02,5.746282E-01,9.313136E-03,2.631044E+04,5.039562E+03,1.357109E+00,3.889138E-01,2.626646E+04,5.729163E+01,1.354840E+00,4.420015E-03,7.172408E+04,7.375814E+03,3.700462E+00,5.691217E-01,1.398199E+04,8.285203E+03,7.214130E-01,6.393417E-01,1.842614E+04,0.000000E+00,9.505159E-01,0.000000E+00,1.188789E+05,0.000000E+00,6.133152E+00,0.000000E+00,6.336156E+03,0.000000E+00,3.270079E-01,0.000000E+00,1.485208E+05,2.662393E+04,7.660771E+00,2.054504E+00,1.083868E+04,0.000000E+00,5.592515E-01,0.000000E+00,1.072993E+04,0.000000E+00,5.536403E-01,0.000000E+00,1.784714E+04,3.025239E+03,9.207803E-01,2.334311E-01,1.780858E+04,0.000000E+00,9.187910E-01,0.000000E+00,3.913613E+04,0.000000E+00,2.019687E+00,0.000000E+00,6.263221E+03,6.081075E+03,3.232437E-01,4.691888E-01
01:30:00,1.503816E+05,0.000000E+00,7.756830E+00,0.000000E+00,1.113669E+04,1.196695E+02,5.746288E-01,9.232404E-03,2.631047E+04,5.014910E+03,1.357110E+00,3.870107E-01,2.626648E+04,3.684917E+01,1.354842E+00,2.842883E-03,7.172418E+04,7.311688E+03,3.700467E+00,5.641726E-01,1.398201E+04,8.269847E+03,7.214141E-01,6.381435E-01,1.842616E+04,0.000000E+00,9.505170E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133155E+00,0.000000E+00,6.336160E+03,0.000000E+00,3.270081E-01,0.000000E+00,1.485209E+05,2.646267E+04,7.660774E+00,2.042060E+00,1.083868E+04,0.000000E+00,5.592519E-01,0.000000E+00,1.072994E+04,0.000000E+00,5.536407E-01,0.000000E+00,1.784715E+04,3.013386E+03,9.207808E-01,2.325163E-01,1.780859E+04,0.000000E+00,9.187914E-01,0.000000E+00,3.913616E+04,0.000000E+00,2.019689E+00,0.000000E+00,6.263227E+03,6.082518E+03,3.232440E-01,4.692907E-01
01:40:00,1.503817E+05,0.000000E+00,7.756833E+00,0.000000E+00,1.113670E+04,1.183970E+02,5.746295E-01,9.134228E-03,2.631050E+04,4.991091E+03,1.357112E+00,3.851720E-01,2.626651E+04,2.088186E+01,1.354843E+00,1.611013E-03,7.172427E+04,7.248998E+03,3.700472E+00,5.593344E-01,1.398203E+04,8.254703E+03,7.214153E-01,6.369666E-01,1.842618E+04,0.000000E+00,9.505180E-01,0.000000E+00,1.188790E+05,0.000000E+00,6.133158E+00,0.000000E+00,6.336164E+03,0.000000E+00,3.270083E-01,0.000000E+00,1.485210E+05,2.630638E+04,7.660777E+00,2.029998E+00,1.083869E+04,0.000000E+00,5.592523E-01,0.000000E+00,1.072995E+04,0.000000E+00,5.536410E-01,0.000000E+00,1.784716E+04,3.001760E+03,9.207813E-01,2.316189E-01,1.780860E+04,0.000000E+00,9.187919E-01,0.000000E+00,3.913619E+04,0.000000E+00,2.019690E+00,0.000000E+00,6.263234E+03,6.083360E+03,3.232444E-01,4.693487E-01
