Time,THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.190457E+04,0.000000E+00,1.646508E+00,0.000000E+00,1.420418E+04,3.077368E+03,7.329917E-01,2.374347E-01,5.011241E+04,6.863563E+02,2.585653E+00,5.295127E-02,1.141364E+05,0.000000E+00,5.876142E+00,0.000000E+00,1.209196E+04,0.000000E+00,6.237674E-01,0.000000E+00,3.209857E+04,0.000000E+00,1.656052E+00,0.000000E+00,3.162051E+04,6.967949E+03,1.631136E+00,5.375916E-01,1.042523E+05,0.000000E+00,5.367680E+00,0.000000E+00,8.765380E+03,0.000000E+00,4.522472E-01,0.000000E+00,1.506062E+04,0.000000E+00,7.771841E-01,0.000000E+00,1.386747E+04,1.579304E+04,7.156163E-01,1.218432E+00,3.373911E+04,7.258250E+02,1.741184E+00,5.599629E-02,1.062966E+05,0.000000E+00,5.472994E+00,0.000000E+00,9.491685E+03,0.000000E+00,4.897213E-01,0.000000E+00,1.379144E+04,0.000000E+00,7.116906E-01,0.000000E+00
00:20:00,3.190459E+04,0.000000E+00,1.646509E+00,0.000000E+00,1.420422E+04,3.150575E+03,7.329939E-01,2.430829E-01,5.011252E+04,7.260326E+02,2.585659E+00,5.601224E-02,1.141364E+05,0.000000E+00,5.876143E+00,0.000000E+00,1.209198E+04,0.000000E+00,6.237682E-01,0.000000E+00,3.209862E+04,0.000000E+00,1.656055E+00,0.000000E+00,3.162057E+04,6.935480E+03,1.631139E+00,5.350861E-01,1.042524E+05,0.000000E+00,5.367681E+00,0.000000E+00,8.765383E+03,0.000000E+00,4.522473E-01,0.000000E+00,1.506063E+04,0.000000E+00,7.771843E-01,0.000000E+00,1.386748E+04,1.580815E+04,7.156170E-01,1.219597E+00,3.373918E+04,8.128711E+02,1.741188E+00,6.271181E-02,1.062966E+05,0.000000E+00,5.472995E+00,0.000000E+00,9.491696E+03,0.000000E+00,4.897219E-01,0.000000E+00,1.379146E+04,0.000000E+00,7.116915E-01,0.000000E+00
00:30:00,3.190461E+04,0.000000E+00,1.646510E+00,0.000000E+00,1.420426E+04,3.223170E+03,7.329961E-01,2.486835E-01,5.011262E+04,7.171613E+02,2.585664E+00,5.532786E-02,1.141364E+05,0.000000E+00,5.876144E+00,0.000000E+00,1.209199E+04,0.000000E+00,6.237690E-01,0.000000E+00,3.209867E+04,5.141426E+00,1.656057E+00,3.966980E-04,3.162062E+04,6.899117E+03,1.631142E+00,5.322801E-01,1.042524E+05,0.000000E+00,5.367681E+00,0.000000E+00,8.765386E+03,0.000000E+00,4.522475E-01,0.000000E+00,1.506063E+04,0.000000E+00,7.771845E-01,0.000000E+00,1.386750E+04,1.581612E+04,7.156178E-01,1.220210E+00,3.373923E+04,8.560782E+02,1.741191E+00,6.604524E-02,1.062966E+05,0.000000E+00,5.472996E+00,0.000000E+00,9.491706E+03,0.000000E+00,4.897224E-01,0.000000E+00,1.379148E+04,0.000000E+00,7.116923E-01,0.000000E+00
00:40:00,3.190464E+04,0.000000E+00,1.646511E+00,0.000000E+00,1.420430E+04,3.296378E+03,7.329982E-01,2.543312E-01,5.011272E+04,6.978063E+02,2.585669E+00,5.383464E-02,1.141364E+05,0.000000E+00,5.876146E+00,0.000000E+00,1.209201E+04,0.000000E+00,6.237698E-01,0.000000E+00,3.209872E+04,6.344289E+00,1.656060E+00,4.894962E-04,3.162068E+04,6.860009E+03,1.631145E+00,5.292623E-01,1.042524E+05,0.000000E+00,5.367681E+00,0.000000E+00,8.765389E+03,0.000000E+00,4.522477E-01,0.000000E+00,1.506063E+04,0.000000E+00,7.771847E-01,0.000000E+00,1.386751E+04,1.581873E+04,7.156185E-01,1.220410E+00,3.373929E+04,8.842799E+02,1.741193E+00,6.822099E-02,1.062966E+05,0.000000E+00,5.472997E+00,0.000000E+00,9.491716E+03,0.000000E+00,4.897230E-01,0.000000E+00,1.379149E+04,0.000000E+00,7.116930E-01,0.000000E+00
00:50:00,3.190466E+04,0.000000E+00,1.646512E+00,0.000000E+00,1.420434E+04,3.370620E+03,7.330003E-01,2.600585E-01,5.011281E+04,6.699123E+02,2.585674E+00,5.168265E-02,1.141365E+05,0.000000E+00,5.876147E+00,0.000000E+00,1.209202E+04,0.000000E+00,6.237705E-01,0.000000E+00,3.209877E+04,6.344289E+00,1.656062E+00,4.894962E-04,3.162073E+04,6.818803E+03,1.631147E+00,5.260826E-01,1.042524E+05,0.000000E+00,5.367681E+00,0.000000E+00,8.765392E+03,0.000000E+00,4.522478E-01,0.000000E+00,1.506064E+04,0.000000E+00,7.771849E-01,0.000000E+00,1.386752E+04,1.581718E+04,7.156192E-01,1.220290E+00,3.373935E+04,9.035063E+02,1.741196E+00,6.970430E-02,1.062966E+05,0.000000E+00,5.472998E+00,0.000000E+00,9.491726E+03,0.000000E+00,4.897235E-01,0.000000E+00,1.379151E+04,0.000000E+00,7.116938E-01,0.000000E+00
01:00:00,3.190468E+04,0.000000E+00,1.646513E+00,0.000000E+00,1.420438E+04,3.446149E+03,7.330023E-01,2.658851E-01,5.011290E+04,6.350818E+02,2.585679E+00,4.899551E-02,1.141365E+05,0.000000E+00,5.876148E+00,0.000000E+00,1.209203E+04,0.000000E+00,6.237713E-01,0.000000E+00,3.209882E+04,6.344289E+00,1.656065E+00,4.894962E-04,3.162078E+04,6.776018E+03,1.631150E+00,5.227812E-01,1.042524E+05,0.000000E+00,5.367682E+00,0.000000E+00,8.765395E+03,0.000000E+00,4.522479E-01,0.000000E+00,1.506064E+04,0.000000E+00,7.771850E-01,0.000000E+00,1.386754E+04,1.581239E+04,7.156198E-01,1.219919E+00,3.373940E+04,9.153265E+02,1.741199E+00,7.061622E-02,1.062966E+05,0.000000E+00,5.472998E+00,0.000000E+00,9.491736E+03,0.000000E+00,4.897240E-01,0.000000E+00,1.379152E+04,0.000000E+00,7.116946E-01,0.000000E+00
01:10:00,3.190469E+04,0.000000E+00,1.646514E+00,0.000000E+00,1.420442E+04,3.435025E+03,7.330044E-01,2.650257E-01,5.011299E+04,5.728070E+02,2.585683E+00,4.419110E-02,1.141365E+05,0.000000E+00,5.876149E+00,0.000000E+00,1.209205E+04,0.000000E+00,6.237720E-01,0.000000E+00,3.209887E+04,6.344289E+00,1.656067E+00,4.894962E-04,3.162084E+04,6.740424E+03,1.631153E+00,5.200346E-01,1.042524E+05,0.000000E+00,5.367682E+00,0.000000E+00,8.765397E+03,0.000000E+00,4.522481E-01,0.000000E+00,1.506064E+04,0.000000E+00,7.771852E-01,0.000000E+00,1.386755E+04,1.580288E+04,7.156204E-01,1.219185E+00,3.373945E+04,8.990480E+02,1.741202E+00,6.936034E-02,1.062967E+05,0.000000E+00,5.472999E+00,0.000000E+00,9.491746E+03,0.000000E+00,4.897245E-01,0.000000E+00,1.379154E+04,0.000000E+00,7.116953E-01,0.000000E+00
01:20:00,3.190471E+04,0.000000E+00,1.646515E+00,0.000000E+00,1.420446E+04,3.425670E+03,7.330064E-01,2.643022E-01,5.011307E+04,5.073411E+02,2.585687E+00,3.914048E-02,1.141365E+05,0.000000E+00,5.876151E+00,0.000000E+00,1.209206E+04,0.000000E+00,6.237727E-01,0.000000E+00,3.209891E+04,6.344289E+00,1.656070E+00,4.894962E-04,3.162089E+04,6.705152E+03,1.631155E+00,5.173128E-01,1.042524E+05,0.000000E+00,5.367682E+00,0.000000E+00,8.765400E+03,0.000000E+00,4.522482E-01,0.000000E+00,1.506065E+04,0.000000E+00,7.771853E-01,0.000000E+00,1.386756E+04,1.579174E+04,7.156210E-01,1.218324E+00,3.373950E+04,8.786299E+02,1.741204E+00,6.778509E-02,1.062967E+05,0.000000E+00,5.473000E+00,0.000000E+00,9.491755E+03,0.000000E+00,4.897250E-01,0.000000E+00,1.379155E+04,0.000000E+00,7.116961E-01,0.000000E+00
01:30:00,3.190473E+04,0.000000E+00,1.646516E+00,0.000000E+00,1.420450E+04,3.416851E+03,7.330084E-01,2.636200E-01,5.011315E+04,4.393705E+02,2.585692E+00,3.389665E-02,1.141366E+05,0.000000E+00,5.876152E+00,0.000000E+00,1.209208E+04,0.000000E+00,6.237734E-01,0.000000E+00,3.209896E+04,1.202863E+00,1.656072E+00,9.279822E-05,3.162094E+04,6.670417E+03,1.631158E+00,5.146325E-01,1.042524E+05,0.000000E+00,5.367682E+00,0.000000E+00,8.765403E+03,0.000000E+00,4.522484E-01,0.000000E+00,1.506065E+04,0.000000E+00,7.771855E-01,0.000000E+00,1.386757E+04,1.577925E+04,7.156215E-01,1.217360E+00,3.373955E+04,8.546301E+02,1.741207E+00,6.593351E-02,1.062967E+05,0.000000E+00,5.473001E+00,0.000000E+00,9.491765E+03,0.000000E+00,4.897254E-01,0.000000E+00,1.379156E+04,0.000000E+00,7.116968E-01,0.000000E+00
01:40:00,3.190474E+04,0.000000E+00,1.646517E+00,0.000000E+00,1.420454E+04,3.408553E+03,7.330103E-01,2.629782E-01,5.011323E+04,3.696391E+02,2.585696E+00,2.851697E-02,1.141366E+05,0.000000E+00,5.876153E+00,0.000000E+00,1.209209E+04,0.000000E+00,6.237740E-01,0.000000E+00,3.209900E+04,0.000000E+00,1.656074E+00,0.000000E+00,3.162099E+04,6.636404E+03,1.631161E+00,5.120080E-01,1.042524E+05,0.000000E+00,5.367683E+00,0.000000E+00,8.765405E+03,0.000000E+00,4.522485E-01,0.000000E+00,1.506065E+04,0.000000E+00,7.771856E-01,0.000000E+00,1.386758E+04,1.576573E+04,7.156220E-01,1.216316E+00,3.373960E+04,8.277663E+02,1.741209E+00,6.386097E-02,1.062967E+05,0.000000E+00,5.473002E+00,0.000000E+00,9.491774E+03,0.000000E+00,4.897259E-01,0.000000E+00,1.379158E+04,7.422861E+00,7.116975E-01,5.730573E-04
