Time,THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12::Des Heat Load [W],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12::Des Heat Mass Flow [kg/s],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14::Des Heat Load [W],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14::Des Heat Mass Flow [kg/s],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load [W],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2::Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7::Des Heat Load [W],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7::Des Heat Mass Flow [kg/s],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.639125E+03,0.000000E+00,1.362282E-01,0.000000E+00,1.734735E+02,5.245116E+03,8.953859E-03,4.048676E-01,0.000000E+00,7.616712E+03,0.000000E+00,5.878412E-01,0.000000E+00,2.118702E+03,0.000000E+00,1.635277E-01,0.000000E+00,6.805471E+02,0.000000E+00,5.251731E-02,0.000000E+00,5.028327E+03,0.000000E+00,3.880174E-01,0.000000E+00,1.057924E+04,0.000000E+00,8.166727E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.440316E+02,0.000000E+00,1.775922E-02,0.000000E+00,2.673077E+03,0.000000E+00,1.379847E-01,0.000000E+00,1.691959E+03,1.715874E+04,8.733851E-02,1.324106E+00,9.820658E+01,5.784087E+03,5.068889E-03,4.463347E-01,0.000000E+00,1.534368E+03,0.000000E+00,1.184127E-01,0.000000E+00,4.546591E+02,0.000000E+00,3.508125E-02,1.077513E+02,2.204755E+03,5.561531E-03,1.701071E-01
00:20:00,2.639000E+03,0.000000E+00,1.362218E-01,0.000000E+00,1.732079E+02,5.167140E+03,8.940147E-03,3.988404E-01,0.000000E+00,7.608759E+03,0.000000E+00,5.872283E-01,0.000000E+00,1.957385E+03,0.000000E+00,1.510728E-01,0.000000E+00,6.729100E+02,0.000000E+00,5.192864E-02,0.000000E+00,5.033163E+03,0.000000E+00,3.883951E-01,0.000000E+00,1.055876E+04,0.000000E+00,8.151015E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.440102E+02,0.000000E+00,1.775812E-02,0.000000E+00,2.673053E+03,0.000000E+00,1.379835E-01,0.000000E+00,1.691883E+03,1.716756E+04,8.733465E-02,1.324787E+00,9.804997E+01,5.823029E+03,5.060805E-03,4.493385E-01,0.000000E+00,1.387651E+03,0.000000E+00,1.070875E-01,0.000000E+00,4.532219E+02,0.000000E+00,3.497064E-02,1.074581E+02,2.131743E+03,5.546398E-03,1.644740E-01
00:30:00,2.638880E+03,0.000000E+00,1.362157E-01,0.000000E+00,1.729407E+02,5.089188E+03,8.926355E-03,3.928149E-01,0.000000E+00,7.593851E+03,0.000000E+00,5.860780E-01,0.000000E+00,1.796851E+03,0.000000E+00,1.386788E-01,0.000000E+00,6.643423E+02,0.000000E+00,5.126801E-02,0.000000E+00,5.031728E+03,0.000000E+00,3.882882E-01,0.000000E+00,1.053615E+04,0.000000E+00,8.133617E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439890E+02,0.000000E+00,1.775703E-02,0.000000E+00,2.673028E+03,0.000000E+00,1.379822E-01,0.000000E+00,1.691810E+03,1.717056E+04,8.733092E-02,1.325017E+00,9.789100E+01,5.852665E+03,5.052600E-03,4.516237E-01,0.000000E+00,1.241667E+03,0.000000E+00,9.581922E-02,0.000000E+00,4.493791E+02,0.000000E+00,3.467439E-02,1.071627E+02,2.260384E+03,5.531153E-03,1.743996E-01
00:40:00,2.638766E+03,0.000000E+00,1.362098E-01,0.000000E+00,1.726722E+02,5.011882E+03,8.912495E-03,3.868391E-01,0.000000E+00,7.573023E+03,0.000000E+00,5.844701E-01,0.000000E+00,1.637454E+03,0.000000E+00,1.263730E-01,0.000000E+00,6.550804E+02,0.000000E+00,5.055364E-02,0.000000E+00,5.026099E+03,0.000000E+00,3.878570E-01,0.000000E+00,1.051083E+04,0.000000E+00,8.114098E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439681E+02,0.000000E+00,1.775595E-02,0.000000E+00,2.673002E+03,0.000000E+00,1.379809E-01,0.000000E+00,1.691739E+03,1.716919E+04,8.732732E-02,1.324910E+00,9.772983E+01,5.874461E+03,5.044282E-03,4.533036E-01,0.000000E+00,1.096786E+03,0.000000E+00,8.463653E-02,0.000000E+00,4.446560E+02,0.000000E+00,3.431016E-02,1.068654E+02,2.318570E+03,5.515808E-03,1.788903E-01
00:50:00,2.638657E+03,0.000000E+00,1.362043E-01,0.000000E+00,1.724025E+02,4.935504E+03,8.898576E-03,3.809346E-01,0.000000E+00,7.547203E+03,0.000000E+00,5.824764E-01,0.000000E+00,1.479722E+03,0.000000E+00,1.141965E-01,0.000000E+00,6.452891E+02,0.000000E+00,4.979829E-02,0.000000E+00,5.017106E+03,0.000000E+00,3.871656E-01,0.000000E+00,1.048320E+04,0.000000E+00,8.092778E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439474E+02,0.000000E+00,1.775488E-02,0.000000E+00,2.672976E+03,0.000000E+00,1.379795E-01,0.000000E+00,1.691671E+03,1.716442E+04,8.732383E-02,1.324540E+00,9.756661E+01,5.889407E+03,5.035857E-03,4.544546E-01,0.000000E+00,9.534072E+02,0.000000E+00,7.357039E-02,0.000000E+00,4.391946E+02,0.000000E+00,3.388891E-02,1.065664E+02,2.371253E+03,5.500372E-03,1.829562E-01
01:00:00,2.638553E+03,0.000000E+00,1.361989E-01,0.000000E+00,1.721319E+02,4.860286E+03,8.884610E-03,3.751195E-01,0.000000E+00,7.517240E+03,0.000000E+00,5.801624E-01,0.000000E+00,1.324081E+03,0.000000E+00,1.021821E-01,0.000000E+00,6.351084E+02,0.000000E+00,4.901279E-02,0.000000E+00,5.005461E+03,0.000000E+00,3.862690E-01,0.000000E+00,1.045385E+04,0.000000E+00,8.070129E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439270E+02,0.000000E+00,1.775383E-02,0.000000E+00,2.672949E+03,0.000000E+00,1.379781E-01,0.000000E+00,1.691605E+03,1.715697E+04,8.732046E-02,1.323962E+00,9.740146E+01,5.898411E+03,5.027333E-03,4.551468E-01,0.000000E+00,8.118675E+02,0.000000E+00,6.264675E-02,0.000000E+00,4.331565E+02,0.000000E+00,3.342312E-02,1.062658E+02,2.418220E+03,5.484857E-03,1.865809E-01
01:10:00,2.638470E+03,0.000000E+00,1.361947E-01,0.000000E+00,1.719123E+02,4.852880E+03,8.873274E-03,3.745382E-01,0.000000E+00,7.501875E+03,0.000000E+00,5.789747E-01,0.000000E+00,1.178781E+03,0.000000E+00,9.096629E-02,0.000000E+00,6.249429E+02,0.000000E+00,4.822838E-02,0.000000E+00,4.993878E+03,0.000000E+00,3.853769E-01,0.000000E+00,1.043134E+04,0.000000E+00,8.052743E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439093E+02,0.000000E+00,1.775292E-02,0.000000E+00,2.672948E+03,0.000000E+00,1.379780E-01,0.000000E+00,1.691561E+03,1.715166E+04,8.731822E-02,1.323550E+00,9.728095E+01,5.920339E+03,5.021113E-03,4.568362E-01,0.000000E+00,6.802081E+02,0.000000E+00,5.248606E-02,0.000000E+00,4.268922E+02,0.000000E+00,3.293983E-02,1.060584E+02,2.462575E+03,5.474153E-03,1.900040E-01
01:20:00,2.638392E+03,0.000000E+00,1.361907E-01,0.000000E+00,1.716916E+02,4.846377E+03,8.861883E-03,3.740279E-01,0.000000E+00,7.484581E+03,0.000000E+00,5.776382E-01,0.000000E+00,1.040444E+03,0.000000E+00,8.028861E-02,0.000000E+00,6.148925E+02,0.000000E+00,4.745281E-02,0.000000E+00,4.981645E+03,0.000000E+00,3.844343E-01,0.000000E+00,1.040874E+04,0.000000E+00,8.035293E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.438919E+02,0.000000E+00,1.775202E-02,0.000000E+00,2.672945E+03,0.000000E+00,1.379779E-01,0.000000E+00,1.691519E+03,1.714504E+04,8.731607E-02,1.323036E+00,9.715841E+01,5.938533E+03,5.014788E-03,4.582376E-01,0.000000E+00,5.550039E+02,0.000000E+00,4.282404E-02,0.000000E+00,4.205152E+02,0.000000E+00,3.244783E-02,1.058489E+02,2.503841E+03,5.463342E-03,1.931887E-01
01:30:00,2.638317E+03,0.000000E+00,1.361869E-01,0.000000E+00,1.714700E+02,4.840700E+03,8.850446E-03,3.735820E-01,0.000000E+00,7.465995E+03,0.000000E+00,5.762021E-01,0.000000E+00,9.094432E+02,0.000000E+00,7.017765E-02,0.000000E+00,6.050452E+02,0.000000E+00,4.669288E-02,0.000000E+00,4.969137E+03,0.000000E+00,3.834703E-01,0.000000E+00,1.038635E+04,0.000000E+00,8.018001E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.438746E+02,0.000000E+00,1.775113E-02,0.000000E+00,2.672942E+03,0.000000E+00,1.379777E-01,0.000000E+00,1.691478E+03,1.713731E+04,8.731399E-02,1.322437E+00,9.703398E+01,5.953537E+03,5.008365E-03,4.593927E-01,0.000000E+00,4.365729E+02,0.000000E+00,3.368512E-02,0.000000E+00,4.141195E+02,0.000000E+00,3.195436E-02,1.056376E+02,2.542597E+03,5.452433E-03,1.961798E-01
01:40:00,2.638246E+03,0.000000E+00,1.361833E-01,0.000000E+00,1.712477E+02,4.835355E+03,8.838968E-03,3.731628E-01,0.000000E+00,7.446443E+03,0.000000E+00,5.746919E-01,0.000000E+00,7.859436E+02,0.000000E+00,6.064612E-02,0.000000E+00,5.954730E+02,0.000000E+00,4.595414E-02,0.000000E+00,4.956638E+03,0.000000E+00,3.825068E-01,0.000000E+00,1.036434E+04,0.000000E+00,8.001002E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.438575E+02,0.000000E+00,1.775024E-02,0.000000E+00,2.672938E+03,0.000000E+00,1.379775E-01,0.000000E+00,1.691438E+03,1.712872E+04,8.731197E-02,1.321772E+00,9.690777E+01,5.965824E+03,5.001851E-03,4.603386E-01,0.000000E+00,3.250536E+02,0.000000E+00,2.507997E-02,0.000000E+00,4.077806E+02,0.000000E+00,3.146526E-02,1.054244E+02,2.579291E+03,5.441433E-03,1.990118E-01
