Time,THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12::Des Heat Load [W],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12::Des Heat Mass Flow [kg/s],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load [W],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2::Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7::Des Heat Load [W],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7::Des Heat Mass Flow [kg/s],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.604370E+03,0.000000E+00,1.344341E-01,0.000000E+00,2.405278E+02,9.369149E+03,1.241496E-02,7.232379E-01,0.000000E+00,9.599422E+03,0.000000E+00,7.408945E-01,0.000000E+00,3.568516E+03,0.000000E+00,2.754851E-01,0.000000E+00,1.138109E+03,0.000000E+00,8.783437E-02,0.000000E+00,5.273698E+03,0.000000E+00,4.069557E-01,0.000000E+00,1.483742E+04,0.000000E+00,1.145377E+00,0.000000E+00,1.910766E+01,0.000000E+00,1.474194E-03,3.330504E+02,0.000000E+00,1.719231E-02,0.000000E+00,2.675372E+03,0.000000E+00,1.381032E-01,0.000000E+00,1.578013E+03,2.131049E+04,8.145631E-02,1.644501E+00,1.584862E+02,8.428281E+03,8.180231E-03,6.504030E-01,0.000000E+00,3.040705E+03,0.000000E+00,2.347292E-01,0.000000E+00,9.466986E+02,0.000000E+00,7.305495E-02,1.263251E+02,2.498792E+03,6.520220E-03,1.927978E-01
00:20:00,2.604265E+03,0.000000E+00,1.344287E-01,0.000000E+00,2.404260E+02,9.240984E+03,1.240971E-02,7.133203E-01,0.000000E+00,9.553459E+03,0.000000E+00,7.373464E-01,0.000000E+00,3.388846E+03,0.000000E+00,2.616081E-01,0.000000E+00,1.124498E+03,0.000000E+00,8.678518E-02,0.000000E+00,5.277697E+03,0.000000E+00,4.072692E-01,0.000000E+00,1.476335E+04,0.000000E+00,1.139673E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.330414E+02,0.000000E+00,1.719185E-02,0.000000E+00,2.675372E+03,0.000000E+00,1.381032E-01,0.000000E+00,1.577953E+03,2.124565E+04,8.145328E-02,1.639498E+00,1.584151E+02,8.420604E+03,8.176561E-03,6.498049E-01,0.000000E+00,2.868172E+03,0.000000E+00,2.214044E-01,0.000000E+00,9.352483E+02,0.000000E+00,7.217221E-02,1.261210E+02,2.513309E+03,6.509684E-03,1.939157E-01
00:30:00,2.604165E+03,0.000000E+00,1.344237E-01,0.000000E+00,2.403244E+02,9.112746E+03,1.240446E-02,7.033985E-01,0.000000E+00,9.503481E+03,0.000000E+00,7.334873E-01,0.000000E+00,3.209736E+03,0.000000E+00,2.477747E-01,0.000000E+00,1.109976E+03,0.000000E+00,8.566535E-02,0.000000E+00,5.275790E+03,0.000000E+00,4.071261E-01,0.000000E+00,1.468571E+04,0.000000E+00,1.133688E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.330326E+02,0.000000E+00,1.719140E-02,0.000000E+00,2.675371E+03,0.000000E+00,1.381031E-01,0.000000E+00,1.577897E+03,2.118000E+04,8.145041E-02,1.634430E+00,1.583422E+02,8.406426E+03,8.172799E-03,6.487052E-01,0.000000E+00,2.698330E+03,0.000000E+00,2.082878E-01,0.000000E+00,9.235369E+02,0.000000E+00,7.126916E-02,1.259142E+02,2.608685E+03,6.499012E-03,2.012754E-01
00:40:00,2.604071E+03,0.000000E+00,1.344188E-01,0.000000E+00,2.402229E+02,8.984953E+03,1.239922E-02,6.935118E-01,0.000000E+00,9.449003E+03,0.000000E+00,7.292804E-01,0.000000E+00,3.031352E+03,0.000000E+00,2.339979E-01,0.000000E+00,1.094654E+03,0.000000E+00,8.448351E-02,0.000000E+00,5.269809E+03,0.000000E+00,4.066681E-01,0.000000E+00,1.460511E+04,0.000000E+00,1.127470E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.330240E+02,0.000000E+00,1.719095E-02,0.000000E+00,2.675369E+03,0.000000E+00,1.381030E-01,0.000000E+00,1.577843E+03,2.111372E+04,8.144768E-02,1.629314E+00,1.582676E+02,8.386587E+03,8.168949E-03,6.471687E-01,0.000000E+00,2.530844E+03,0.000000E+00,1.953537E-01,0.000000E+00,9.116684E+02,0.000000E+00,7.035380E-02,1.257051E+02,2.663485E+03,6.488217E-03,2.055050E-01
00:50:00,2.603981E+03,0.000000E+00,1.344143E-01,0.000000E+00,2.401216E+02,8.857812E+03,1.239399E-02,6.836756E-01,0.000000E+00,9.390712E+03,0.000000E+00,7.247787E-01,0.000000E+00,2.854173E+03,0.000000E+00,2.203148E-01,0.000000E+00,1.078682E+03,0.000000E+00,8.325120E-02,0.000000E+00,5.260603E+03,0.000000E+00,4.059604E-01,0.000000E+00,1.452215E+04,0.000000E+00,1.121068E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.330155E+02,0.000000E+00,1.719052E-02,0.000000E+00,2.675366E+03,0.000000E+00,1.381029E-01,0.000000E+00,1.577792E+03,2.104686E+04,8.144508E-02,1.624151E+00,1.581915E+02,8.361959E+03,8.165018E-03,6.452627E-01,0.000000E+00,2.365882E+03,0.000000E+00,1.826151E-01,0.000000E+00,8.995832E+02,0.000000E+00,6.942153E-02,1.254938E+02,2.712689E+03,6.477310E-03,2.093024E-01
01:00:00,2.603896E+03,0.000000E+00,1.344099E-01,0.000000E+00,2.400206E+02,8.731522E+03,1.238878E-02,6.739050E-01,0.000000E+00,9.329369E+03,0.000000E+00,7.200410E-01,0.000000E+00,2.678611E+03,0.000000E+00,2.067571E-01,0.000000E+00,1.062185E+03,0.000000E+00,8.197824E-02,0.000000E+00,5.248850E+03,0.000000E+00,4.050557E-01,0.000000E+00,1.443737E+04,0.000000E+00,1.114523E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.330072E+02,0.000000E+00,1.719009E-02,0.000000E+00,2.675363E+03,0.000000E+00,1.381027E-01,0.000000E+00,1.577744E+03,2.097961E+04,8.144260E-02,1.618959E+00,1.581138E+02,8.333267E+03,8.161009E-03,6.430430E-01,0.000000E+00,2.203611E+03,0.000000E+00,1.700849E-01,0.000000E+00,8.873174E+02,0.000000E+00,6.847525E-02,1.252805E+02,2.757032E+03,6.466300E-03,2.127248E-01
01:10:00,2.603816E+03,0.000000E+00,1.344059E-01,0.000000E+00,2.399229E+02,8.673862E+03,1.238374E-02,6.694314E-01,0.000000E+00,9.283764E+03,0.000000E+00,7.165170E-01,0.000000E+00,2.512974E+03,0.000000E+00,1.939664E-01,0.000000E+00,1.045572E+03,0.000000E+00,8.069608E-02,0.000000E+00,5.237191E+03,0.000000E+00,4.041579E-01,0.000000E+00,1.435945E+04,0.000000E+00,1.108507E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.329992E+02,0.000000E+00,1.718968E-02,0.000000E+00,2.675359E+03,0.000000E+00,1.381026E-01,0.000000E+00,1.577698E+03,2.091650E+04,8.144029E-02,1.614085E+00,1.580374E+02,8.318976E+03,8.157065E-03,6.419348E-01,0.000000E+00,2.051887E+03,0.000000E+00,1.583696E-01,0.000000E+00,8.751439E+02,0.000000E+00,6.753600E-02,1.250701E+02,2.799034E+03,6.455441E-03,2.159666E-01
01:20:00,2.603740E+03,0.000000E+00,1.344020E-01,0.000000E+00,2.398255E+02,8.617425E+03,1.237871E-02,6.650536E-01,0.000000E+00,9.237050E+03,0.000000E+00,7.129072E-01,0.000000E+00,2.353930E+03,0.000000E+00,1.816855E-01,0.000000E+00,1.028949E+03,0.000000E+00,7.941312E-02,0.000000E+00,5.224899E+03,0.000000E+00,4.032108E-01,0.000000E+00,1.428147E+04,0.000000E+00,1.102486E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.329913E+02,0.000000E+00,1.718927E-02,0.000000E+00,2.675355E+03,0.000000E+00,1.381023E-01,0.000000E+00,1.577655E+03,2.085369E+04,8.143808E-02,1.609234E+00,1.579596E+02,8.302306E+03,8.153052E-03,6.406431E-01,0.000000E+00,1.907185E+03,0.000000E+00,1.471971E-01,0.000000E+00,8.631093E+02,0.000000E+00,6.660740E-02,1.248580E+02,2.838212E+03,6.444496E-03,2.189903E-01
01:30:00,2.603668E+03,0.000000E+00,1.343983E-01,0.000000E+00,2.397284E+02,8.561031E+03,1.237370E-02,6.606818E-01,0.000000E+00,9.189691E+03,0.000000E+00,7.092477E-01,0.000000E+00,2.201855E+03,0.000000E+00,1.699432E-01,0.000000E+00,1.012410E+03,0.000000E+00,7.813661E-02,0.000000E+00,5.212343E+03,0.000000E+00,4.022431E-01,0.000000E+00,1.420363E+04,0.000000E+00,1.096476E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.329835E+02,0.000000E+00,1.718887E-02,0.000000E+00,2.675350E+03,0.000000E+00,1.381021E-01,0.000000E+00,1.577614E+03,2.079109E+04,8.143598E-02,1.604401E+00,1.578806E+02,8.283603E+03,8.148974E-03,6.391951E-01,0.000000E+00,1.769738E+03,0.000000E+00,1.365852E-01,0.000000E+00,8.512568E+02,0.000000E+00,6.569282E-02,1.246445E+02,2.875124E+03,6.433473E-03,2.218393E-01
01:40:00,2.603599E+03,0.000000E+00,1.343948E-01,0.000000E+00,2.396317E+02,8.504311E+03,1.236871E-02,6.562889E-01,0.000000E+00,9.141826E+03,0.000000E+00,7.055496E-01,0.000000E+00,2.056961E+03,0.000000E+00,1.587559E-01,0.000000E+00,9.960355E+02,0.000000E+00,7.687274E-02,0.000000E+00,5.199800E+03,0.000000E+00,4.012762E-01,0.000000E+00,1.412611E+04,0.000000E+00,1.090491E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.329758E+02,0.000000E+00,1.718847E-02,0.000000E+00,2.675344E+03,0.000000E+00,1.381018E-01,0.000000E+00,1.577574E+03,2.072878E+04,8.143397E-02,1.599590E+00,1.578005E+02,8.263231E+03,8.144837E-03,6.376190E-01,0.000000E+00,1.639621E+03,0.000000E+00,1.265397E-01,0.000000E+00,8.396241E+02,0.000000E+00,6.479515E-02,1.244295E+02,2.910178E+03,6.422379E-03,2.245448E-01
