Time,THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12::Des Heat Load [W],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12::Des Heat Mass Flow [kg/s],THERMAL ZONE 12:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14::Des Heat Load [W],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14::Des Heat Mass Flow [kg/s],THERMAL ZONE 14:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load [W],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2::Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7::Des Heat Load [W],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7::Des Heat Mass Flow [kg/s],THERMAL ZONE 7:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:BELEM ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:BELEM ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.624924E+03,0.000000E+00,1.354951E-01,0.000000E+00,2.043251E+02,6.767977E+03,1.054630E-02,5.224383E-01,0.000000E+00,8.431853E+03,0.000000E+00,6.507629E-01,0.000000E+00,2.655782E+03,0.000000E+00,2.049996E-01,0.000000E+00,8.347078E+02,0.000000E+00,6.441647E-02,0.000000E+00,5.121739E+03,0.000000E+00,3.952271E-01,0.000000E+00,1.224426E+04,0.000000E+00,9.451914E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.394855E+02,0.000000E+00,1.752453E-02,0.000000E+00,2.674127E+03,0.000000E+00,1.380389E-01,0.000000E+00,1.643640E+03,1.892612E+04,8.484419E-02,1.460503E+00,1.238945E+02,6.853323E+03,6.394774E-03,5.288533E-01,0.000000E+00,2.205458E+03,0.000000E+00,1.702242E-01,0.000000E+00,6.539603E+02,0.000000E+00,5.046164E-02,1.158363E+02,2.318642E+03,5.978841E-03,1.788961E-01
00:20:00,2.624793E+03,0.000000E+00,1.354884E-01,0.000000E+00,2.040765E+02,6.692310E+03,1.053347E-02,5.165831E-01,0.000000E+00,8.417989E+03,0.000000E+00,6.496941E-01,0.000000E+00,2.492799E+03,0.000000E+00,1.924138E-01,0.000000E+00,8.263929E+02,0.000000E+00,6.377565E-02,0.000000E+00,5.126701E+03,0.000000E+00,3.956146E-01,0.000000E+00,1.223241E+04,0.000000E+00,9.442883E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.394677E+02,0.000000E+00,1.752361E-02,0.000000E+00,2.674100E+03,0.000000E+00,1.380375E-01,0.000000E+00,1.643547E+03,1.892692E+04,8.483942E-02,1.460565E+00,1.237415E+02,6.885990E+03,6.386872E-03,5.313714E-01,0.000000E+00,2.056111E+03,0.000000E+00,1.586934E-01,0.000000E+00,6.507344E+02,0.000000E+00,5.021327E-02,1.155313E+02,2.278399E+03,5.963100E-03,1.757900E-01
00:30:00,2.624668E+03,0.000000E+00,1.354820E-01,0.000000E+00,2.038275E+02,6.616439E+03,1.052061E-02,5.107125E-01,0.000000E+00,8.397077E+03,0.000000E+00,6.480806E-01,0.000000E+00,2.331541E+03,0.000000E+00,1.799614E-01,0.000000E+00,8.174218E+02,0.000000E+00,6.308399E-02,0.000000E+00,5.125527E+03,0.000000E+00,3.955280E-01,0.000000E+00,1.221624E+04,0.000000E+00,9.430490E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.394501E+02,0.000000E+00,1.752270E-02,0.000000E+00,2.674071E+03,0.000000E+00,1.380360E-01,0.000000E+00,1.643457E+03,1.892441E+04,8.483480E-02,1.460370E+00,1.235865E+02,6.910283E+03,6.378876E-03,5.332430E-01,0.000000E+00,1.908035E+03,0.000000E+00,1.472610E-01,0.000000E+00,6.465540E+02,0.000000E+00,4.989116E-02,1.152244E+02,2.394844E+03,5.947257E-03,1.847748E-01
00:40:00,2.624548E+03,0.000000E+00,1.354759E-01,0.000000E+00,2.035782E+02,6.540753E+03,1.050775E-02,5.048563E-01,0.000000E+00,8.369983E+03,0.000000E+00,6.459893E-01,0.000000E+00,2.171658E+03,0.000000E+00,1.676159E-01,0.000000E+00,8.080215E+02,0.000000E+00,6.235901E-02,0.000000E+00,5.120178E+03,0.000000E+00,3.951185E-01,0.000000E+00,1.219625E+04,0.000000E+00,9.415109E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.394328E+02,0.000000E+00,1.752181E-02,0.000000E+00,2.674042E+03,0.000000E+00,1.380345E-01,0.000000E+00,1.643370E+03,1.891902E+04,8.483033E-02,1.459953E+00,1.234299E+02,6.927250E+03,6.370791E-03,5.345489E-01,0.000000E+00,1.761335E+03,0.000000E+00,1.359353E-01,0.000000E+00,6.416375E+02,0.000000E+00,4.951215E-02,1.149157E+02,2.451922E+03,5.931324E-03,1.891801E-01
00:50:00,2.624434E+03,0.000000E+00,1.354701E-01,0.000000E+00,2.033287E+02,6.465491E+03,1.049487E-02,4.990325E-01,0.000000E+00,8.337824E+03,0.000000E+00,6.435063E-01,0.000000E+00,2.013518E+03,0.000000E+00,1.554056E-01,0.000000E+00,7.981589E+02,0.000000E+00,6.159817E-02,0.000000E+00,5.111533E+03,0.000000E+00,3.944540E-01,0.000000E+00,1.217308E+04,0.000000E+00,9.397245E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.394156E+02,0.000000E+00,1.752093E-02,0.000000E+00,2.674013E+03,0.000000E+00,1.380330E-01,0.000000E+00,1.643285E+03,1.891120E+04,8.482601E-02,1.459347E+00,1.232717E+02,6.937894E+03,6.362624E-03,5.353667E-01,0.000000E+00,1.616330E+03,0.000000E+00,1.247409E-01,0.000000E+00,6.361131E+02,0.000000E+00,4.908616E-02,1.146055E+02,2.503477E+03,5.915312E-03,1.931589E-01
01:00:00,2.624324E+03,0.000000E+00,1.354645E-01,0.000000E+00,2.030791E+02,6.390808E+03,1.048198E-02,4.932531E-01,0.000000E+00,8.301596E+03,0.000000E+00,6.407088E-01,0.000000E+00,1.857421E+03,0.000000E+00,1.433537E-01,0.000000E+00,7.878973E+02,0.000000E+00,6.080642E-02,0.000000E+00,5.100300E+03,0.000000E+00,3.935894E-01,0.000000E+00,1.214720E+04,0.000000E+00,9.377272E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.393987E+02,0.000000E+00,1.752005E-02,0.000000E+00,2.673982E+03,0.000000E+00,1.380315E-01,0.000000E+00,1.643203E+03,1.890121E+04,8.482181E-02,1.458573E+00,1.231120E+02,6.943022E+03,6.354381E-03,5.357586E-01,0.000000E+00,1.473280E+03,0.000000E+00,1.136980E-01,0.000000E+00,6.300883E+02,0.000000E+00,4.862148E-02,1.142940E+02,2.549706E+03,5.899232E-03,1.967268E-01
01:10:00,2.624242E+03,0.000000E+00,1.354603E-01,0.000000E+00,2.029291E+02,6.383708E+03,1.047424E-02,4.926899E-01,0.000000E+00,8.280054E+03,0.000000E+00,6.390442E-01,0.000000E+00,1.711495E+03,0.000000E+00,1.320875E-01,0.000000E+00,7.776157E+02,0.000000E+00,6.001304E-02,0.000000E+00,5.089180E+03,0.000000E+00,3.927331E-01,0.000000E+00,1.212727E+04,0.000000E+00,9.361886E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.393859E+02,0.000000E+00,1.751939E-02,0.000000E+00,2.673981E+03,0.000000E+00,1.380314E-01,0.000000E+00,1.643159E+03,1.889352E+04,8.481958E-02,1.457976E+00,1.230162E+02,6.961343E+03,6.349439E-03,5.371685E-01,0.000000E+00,1.340133E+03,0.000000E+00,1.034199E-01,0.000000E+00,6.238773E+02,0.000000E+00,4.814237E-02,1.140890E+02,2.593521E+03,5.888653E-03,2.001083E-01
01:20:00,2.624165E+03,0.000000E+00,1.354563E-01,0.000000E+00,2.027786E+02,6.377101E+03,1.046647E-02,4.921661E-01,0.000000E+00,8.256685E+03,0.000000E+00,6.372385E-01,0.000000E+00,1.572247E+03,0.000000E+00,1.213375E-01,0.000000E+00,7.673820E+02,0.000000E+00,5.922329E-02,0.000000E+00,5.077448E+03,0.000000E+00,3.918292E-01,0.000000E+00,1.210634E+04,0.000000E+00,9.345732E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.393732E+02,0.000000E+00,1.751874E-02,0.000000E+00,2.673979E+03,0.000000E+00,1.380313E-01,0.000000E+00,1.643117E+03,1.888444E+04,8.481746E-02,1.457273E+00,1.229187E+02,6.976116E+03,6.344406E-03,5.383048E-01,0.000000E+00,1.213417E+03,0.000000E+00,9.363865E-02,0.000000E+00,6.175651E+02,0.000000E+00,4.765541E-02,1.138821E+02,2.634410E+03,5.877972E-03,2.032640E-01
01:30:00,2.624091E+03,0.000000E+00,1.354526E-01,0.000000E+00,2.026275E+02,6.370475E+03,1.045867E-02,4.916420E-01,0.000000E+00,8.232082E+03,0.000000E+00,6.353376E-01,0.000000E+00,1.439973E+03,0.000000E+00,1.111263E-01,0.000000E+00,7.572674E+02,0.000000E+00,5.844270E-02,0.000000E+00,5.065471E+03,0.000000E+00,3.909062E-01,0.000000E+00,1.208469E+04,0.000000E+00,9.329010E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.393607E+02,0.000000E+00,1.751810E-02,0.000000E+00,2.673975E+03,0.000000E+00,1.380311E-01,0.000000E+00,1.643077E+03,1.887403E+04,8.481542E-02,1.456467E+00,1.228196E+02,6.987783E+03,6.339288E-03,5.392016E-01,0.000000E+00,1.093413E+03,0.000000E+00,8.437597E-02,0.000000E+00,6.112253E+02,0.000000E+00,4.716629E-02,1.136734E+02,2.672922E+03,5.867200E-03,2.062363E-01
01:40:00,2.624021E+03,0.000000E+00,1.354490E-01,0.000000E+00,2.024760E+02,6.363375E+03,1.045085E-02,4.910833E-01,0.000000E+00,8.206710E+03,0.000000E+00,6.333778E-01,0.000000E+00,1.314818E+03,0.000000E+00,1.014652E-01,0.000000E+00,7.473342E+02,0.000000E+00,5.767606E-02,0.000000E+00,5.053529E+03,0.000000E+00,3.899856E-01,0.000000E+00,1.206249E+04,0.000000E+00,9.311872E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.393484E+02,0.000000E+00,1.751746E-02,0.000000E+00,2.673971E+03,0.000000E+00,1.380309E-01,0.000000E+00,1.643039E+03,1.886245E+04,8.481346E-02,1.455571E+00,1.227188E+02,6.996771E+03,6.334090E-03,5.398920E-01,0.000000E+00,9.802372E+02,0.000000E+00,7.564067E-02,0.000000E+00,6.049186E+02,0.000000E+00,4.667969E-02,1.134630E+02,2.709482E+03,5.856343E-03,2.090580E-01
