Time,THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.213835E+04,0.000000E+00,2.174649E+00,0.000000E+00,3.397119E+04,5.784693E+03,1.753043E+00,4.463305E-01,6.173153E+04,2.857770E+03,3.185171E+00,2.204768E-01,1.221829E+05,0.000000E+00,6.290516E+00,0.000000E+00,1.483535E+04,0.000000E+00,7.652882E-01,0.000000E+00,3.265448E+04,2.058501E+02,1.684733E+00,1.588501E-02,5.135918E+04,9.499771E+03,2.649319E+00,7.329266E-01,1.113923E+05,0.000000E+00,5.735419E+00,0.000000E+00,1.117041E+04,0.000000E+00,5.763352E-01,0.000000E+00,1.543641E+04,0.000000E+00,7.965757E-01,0.000000E+00,3.025468E+04,1.915023E+04,1.561255E+00,1.477438E+00,4.540321E+04,3.259802E+03,2.343142E+00,2.514946E-01,1.143981E+05,0.000000E+00,5.890248E+00,0.000000E+00,1.224714E+04,0.000000E+00,6.318905E-01,0.000000E+00,1.432373E+04,0.000000E+00,7.391583E-01,0.000000E+00
00:20:00,4.213837E+04,0.000000E+00,2.174650E+00,0.000000E+00,3.397123E+04,5.800041E+03,1.753046E+00,4.475118E-01,6.173164E+04,2.810719E+03,3.185176E+00,2.168466E-01,1.221829E+05,0.000000E+00,6.290517E+00,0.000000E+00,1.483537E+04,0.000000E+00,7.652891E-01,0.000000E+00,3.265454E+04,2.605521E+02,1.684735E+00,2.010515E-02,5.135924E+04,9.412280E+03,2.649323E+00,7.261760E-01,1.113923E+05,0.000000E+00,5.735420E+00,0.000000E+00,1.117041E+04,0.000000E+00,5.763354E-01,0.000000E+00,1.543641E+04,0.000000E+00,7.965758E-01,0.000000E+00,3.025469E+04,1.908411E+04,1.561256E+00,1.472336E+00,4.540327E+04,3.254030E+03,2.343145E+00,2.510492E-01,1.143981E+05,0.000000E+00,5.890249E+00,0.000000E+00,1.224715E+04,0.000000E+00,6.318911E-01,0.000000E+00,1.432375E+04,1.609676E+01,7.391591E-01,1.243720E-03
00:30:00,4.213839E+04,0.000000E+00,2.174651E+00,0.000000E+00,3.397127E+04,5.814339E+03,1.753048E+00,4.486119E-01,6.173174E+04,2.754304E+03,3.185182E+00,2.124940E-01,1.221830E+05,0.000000E+00,6.290519E+00,0.000000E+00,1.483539E+04,0.000000E+00,7.652899E-01,0.000000E+00,3.265459E+04,3.138334E+02,1.684738E+00,2.421569E-02,5.135930E+04,9.319900E+03,2.649326E+00,7.190480E-01,1.113923E+05,0.000000E+00,5.735420E+00,0.000000E+00,1.117042E+04,0.000000E+00,5.763356E-01,0.000000E+00,1.543641E+04,0.000000E+00,7.965760E-01,0.000000E+00,3.025471E+04,1.901545E+04,1.561257E+00,1.467038E+00,4.540333E+04,3.239633E+03,2.343148E+00,2.499382E-01,1.143981E+05,0.000000E+00,5.890250E+00,0.000000E+00,1.224716E+04,0.000000E+00,6.318917E-01,0.000000E+00,1.432376E+04,6.132652E+01,7.391599E-01,4.733099E-03
00:40:00,4.213842E+04,0.000000E+00,2.174652E+00,0.000000E+00,3.397132E+04,5.828822E+03,1.753050E+00,4.497264E-01,6.173184E+04,2.690541E+03,3.185187E+00,2.075745E-01,1.221830E+05,0.000000E+00,6.290520E+00,0.000000E+00,1.483540E+04,0.000000E+00,7.652907E-01,0.000000E+00,3.265464E+04,3.100462E+02,1.684741E+00,2.391942E-02,5.135937E+04,9.223877E+03,2.649329E+00,7.116390E-01,1.113923E+05,0.000000E+00,5.735420E+00,0.000000E+00,1.117042E+04,0.000000E+00,5.763358E-01,0.000000E+00,1.543642E+04,0.000000E+00,7.965762E-01,0.000000E+00,3.025472E+04,1.894493E+04,1.561258E+00,1.461597E+00,4.540339E+04,3.218368E+03,2.343151E+00,2.482973E-01,1.143981E+05,0.000000E+00,5.890251E+00,0.000000E+00,1.224717E+04,0.000000E+00,6.318922E-01,0.000000E+00,1.432378E+04,9.903658E+01,7.391607E-01,7.642349E-03
00:50:00,4.213844E+04,0.000000E+00,2.174653E+00,0.000000E+00,3.397136E+04,5.843835E+03,1.753052E+00,4.508815E-01,6.173194E+04,2.620565E+03,3.185192E+00,2.021756E-01,1.221830E+05,0.000000E+00,6.290521E+00,0.000000E+00,1.483542E+04,0.000000E+00,7.652915E-01,0.000000E+00,3.265469E+04,3.107958E+02,1.684743E+00,2.397724E-02,5.135942E+04,9.124979E+03,2.649332E+00,7.040082E-01,1.113923E+05,0.000000E+00,5.735421E+00,0.000000E+00,1.117042E+04,0.000000E+00,5.763359E-01,0.000000E+00,1.543642E+04,0.000000E+00,7.965763E-01,0.000000E+00,3.025474E+04,1.887306E+04,1.561259E+00,1.456051E+00,4.540344E+04,3.191144E+03,2.343154E+00,2.461967E-01,1.143981E+05,0.000000E+00,5.890251E+00,0.000000E+00,1.224718E+04,0.000000E+00,6.318927E-01,0.000000E+00,1.432379E+04,1.493149E+02,7.391615E-01,1.152121E-02
01:00:00,4.213846E+04,0.000000E+00,2.174654E+00,0.000000E+00,3.397140E+04,5.859682E+03,1.753054E+00,4.521008E-01,6.173203E+04,2.545278E+03,3.185196E+00,1.963670E-01,1.221830E+05,0.000000E+00,6.290522E+00,0.000000E+00,1.483543E+04,0.000000E+00,7.652923E-01,0.000000E+00,3.265474E+04,3.035298E+02,1.684746E+00,2.341669E-02,5.135948E+04,9.023847E+03,2.649335E+00,6.962050E-01,1.113923E+05,0.000000E+00,5.735421E+00,0.000000E+00,1.117043E+04,0.000000E+00,5.763361E-01,0.000000E+00,1.543642E+04,0.000000E+00,7.965765E-01,0.000000E+00,3.025475E+04,1.880040E+04,1.561259E+00,1.450443E+00,4.540349E+04,3.158833E+03,2.343156E+00,2.437036E-01,1.143981E+05,0.000000E+00,5.890252E+00,0.000000E+00,1.224719E+04,0.000000E+00,6.318932E-01,0.000000E+00,1.432381E+04,2.053243E+02,7.391622E-01,1.584222E-02
01:10:00,4.213847E+04,0.000000E+00,2.174655E+00,0.000000E+00,3.397144E+04,5.788588E+03,1.753057E+00,4.466121E-01,6.173212E+04,2.443627E+03,3.185201E+00,1.885245E-01,1.221831E+05,0.000000E+00,6.290524E+00,0.000000E+00,1.483545E+04,0.000000E+00,7.652930E-01,0.000000E+00,3.265478E+04,2.894150E+02,1.684748E+00,2.232776E-02,5.135954E+04,8.929437E+03,2.649338E+00,6.889204E-01,1.113924E+05,0.000000E+00,5.735421E+00,0.000000E+00,1.117043E+04,0.000000E+00,5.763363E-01,0.000000E+00,1.543642E+04,0.000000E+00,7.965766E-01,0.000000E+00,3.025477E+04,1.872490E+04,1.561260E+00,1.444618E+00,4.540355E+04,3.100141E+03,2.343159E+00,2.391751E-01,1.143981E+05,0.000000E+00,5.890253E+00,0.000000E+00,1.224720E+04,0.000000E+00,6.318938E-01,0.000000E+00,1.432382E+04,2.673619E+02,7.391630E-01,2.062829E-02
01:20:00,4.213849E+04,0.000000E+00,2.174656E+00,0.000000E+00,3.397148E+04,5.718650E+03,1.753059E+00,4.412118E-01,6.173220E+04,2.339567E+03,3.185205E+00,1.804960E-01,1.221831E+05,0.000000E+00,6.290525E+00,0.000000E+00,1.483546E+04,0.000000E+00,7.652937E-01,0.000000E+00,3.265483E+04,2.723041E+02,1.684750E+00,2.100769E-02,5.135960E+04,8.834980E+03,2.649341E+00,6.816322E-01,1.113924E+05,0.000000E+00,5.735421E+00,0.000000E+00,1.117043E+04,0.000000E+00,5.763365E-01,0.000000E+00,1.543643E+04,0.000000E+00,7.965767E-01,0.000000E+00,3.025479E+04,1.864897E+04,1.561261E+00,1.438758E+00,4.540360E+04,3.038667E+03,2.343162E+00,2.344321E-01,1.143982E+05,0.000000E+00,5.890254E+00,0.000000E+00,1.224721E+04,0.000000E+00,6.318943E-01,0.000000E+00,1.432384E+04,3.186304E+02,7.391637E-01,2.458166E-02
01:30:00,4.213851E+04,0.000000E+00,2.174657E+00,0.000000E+00,3.397153E+04,5.648719E+03,1.753061E+00,4.358123E-01,6.173228E+04,2.233765E+03,3.185210E+00,1.723333E-01,1.221831E+05,0.000000E+00,6.290526E+00,0.000000E+00,1.483548E+04,0.000000E+00,7.652944E-01,0.000000E+00,3.265487E+04,2.532027E+02,1.684753E+00,1.953406E-02,5.135966E+04,8.740781E+03,2.649344E+00,6.743641E-01,1.113924E+05,0.000000E+00,5.735422E+00,0.000000E+00,1.117044E+04,0.000000E+00,5.763366E-01,0.000000E+00,1.543643E+04,0.000000E+00,7.965769E-01,0.000000E+00,3.025480E+04,1.857256E+04,1.561262E+00,1.432862E+00,4.540365E+04,2.974738E+03,2.343164E+00,2.294996E-01,1.143982E+05,0.000000E+00,5.890255E+00,0.000000E+00,1.224722E+04,0.000000E+00,6.318947E-01,0.000000E+00,1.432385E+04,3.455117E+02,7.391645E-01,2.665550E-02
01:40:00,4.213853E+04,0.000000E+00,2.174658E+00,0.000000E+00,3.397157E+04,5.578815E+03,1.753063E+00,4.304157E-01,6.173236E+04,2.126910E+03,3.185214E+00,1.640893E-01,1.221831E+05,0.000000E+00,6.290527E+00,0.000000E+00,1.483549E+04,0.000000E+00,7.652951E-01,0.000000E+00,3.265491E+04,2.328663E+02,1.684755E+00,1.796515E-02,5.135972E+04,8.647146E+03,2.649347E+00,6.671396E-01,1.113924E+05,0.000000E+00,5.735422E+00,0.000000E+00,1.117044E+04,0.000000E+00,5.763368E-01,0.000000E+00,1.543643E+04,0.000000E+00,7.965770E-01,0.000000E+00,3.025482E+04,1.849569E+04,1.561263E+00,1.426931E+00,4.540370E+04,2.908904E+03,2.343167E+00,2.244202E-01,1.143982E+05,0.000000E+00,5.890255E+00,0.000000E+00,1.224723E+04,0.000000E+00,6.318952E-01,0.000000E+00,1.432387E+04,3.841577E+02,7.391652E-01,2.963697E-02
