Time,THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:HELSINKI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:HELSINKI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.591999E+04,0.000000E+00,1.853734E+00,0.000000E+00,2.213417E+04,4.123870E+03,1.142208E+00,3.181848E-01,5.465704E+04,1.493597E+03,2.820145E+00,1.152295E-01,1.172933E+05,0.000000E+00,6.038729E+00,0.000000E+00,1.316513E+04,0.000000E+00,6.791281E-01,0.000000E+00,3.233246E+04,4.950683E+01,1.668119E+00,3.820356E-03,3.953700E+04,7.789392E+03,2.039494E+00,6.009689E-01,1.070600E+05,0.000000E+00,5.512302E+00,0.000000E+00,9.708738E+03,0.000000E+00,5.009201E-01,0.000000E+00,1.521967E+04,0.000000E+00,7.853917E-01,0.000000E+00,2.035050E+04,1.714998E+04,1.050163E+00,1.323120E+00,3.831947E+04,1.673280E+03,1.977566E+00,1.290922E-01,1.094886E+05,0.000000E+00,5.637412E+00,0.000000E+00,1.057453E+04,0.000000E+00,5.455913E-01,0.000000E+00,1.401618E+04,0.000000E+00,7.232875E-01,0.000000E+00
00:20:00,3.592003E+04,0.000000E+00,1.853736E+00,0.000000E+00,2.213422E+04,4.196258E+03,1.142210E+00,3.237688E-01,5.465715E+04,1.501294E+03,2.820151E+00,1.158234E-01,1.172933E+05,0.000000E+00,6.038731E+00,0.000000E+00,1.316515E+04,0.000000E+00,6.791289E-01,0.000000E+00,3.233251E+04,7.151825E+01,1.668122E+00,5.518489E-03,3.953706E+04,7.757731E+03,2.039497E+00,5.985258E-01,1.070600E+05,0.000000E+00,5.512303E+00,0.000000E+00,9.708743E+03,0.000000E+00,5.009203E-01,0.000000E+00,1.521968E+04,0.000000E+00,7.853919E-01,0.000000E+00,2.035052E+04,1.716221E+04,1.050164E+00,1.324063E+00,3.831953E+04,1.730270E+03,1.977569E+00,1.334892E-01,1.094886E+05,0.000000E+00,5.637413E+00,0.000000E+00,1.057454E+04,0.000000E+00,5.455919E-01,0.000000E+00,1.401619E+04,0.000000E+00,7.232883E-01,0.000000E+00
00:30:00,3.592005E+04,0.000000E+00,1.853737E+00,0.000000E+00,2.213426E+04,4.268368E+03,1.142212E+00,3.293312E-01,5.465725E+04,1.490146E+03,2.820156E+00,1.149633E-01,1.172933E+05,0.000000E+00,6.038732E+00,0.000000E+00,1.316516E+04,0.000000E+00,6.791298E-01,0.000000E+00,3.233257E+04,9.454991E+01,1.668124E+00,7.295331E-03,3.953712E+04,7.723162E+03,2.039500E+00,5.958580E-01,1.070600E+05,0.000000E+00,5.512303E+00,0.000000E+00,9.708748E+03,0.000000E+00,5.009205E-01,0.000000E+00,1.521968E+04,0.000000E+00,7.853921E-01,0.000000E+00,2.035055E+04,1.717039E+04,1.050166E+00,1.324693E+00,3.831960E+04,1.764771E+03,1.977572E+00,1.361510E-01,1.094886E+05,0.000000E+00,5.637414E+00,0.000000E+00,1.057455E+04,0.000000E+00,5.455924E-01,0.000000E+00,1.401621E+04,0.000000E+00,7.232891E-01,0.000000E+00
00:40:00,3.592008E+04,0.000000E+00,1.853739E+00,0.000000E+00,2.213431E+04,4.341104E+03,1.142215E+00,3.349417E-01,5.465735E+04,1.469765E+03,2.820161E+00,1.133909E-01,1.172933E+05,0.000000E+00,6.038733E+00,0.000000E+00,1.316518E+04,0.000000E+00,6.791306E-01,0.000000E+00,3.233262E+04,1.156137E+02,1.668127E+00,8.920355E-03,3.953718E+04,7.686608E+03,2.039503E+00,5.930372E-01,1.070600E+05,0.000000E+00,5.512304E+00,0.000000E+00,9.708752E+03,0.000000E+00,5.009208E-01,0.000000E+00,1.521969E+04,0.000000E+00,7.853923E-01,0.000000E+00,2.035057E+04,1.717509E+04,1.050167E+00,1.325055E+00,3.831965E+04,1.790381E+03,1.977576E+00,1.381267E-01,1.094886E+05,0.000000E+00,5.637415E+00,0.000000E+00,1.057456E+04,0.000000E+00,5.455930E-01,0.000000E+00,1.401622E+04,0.000000E+00,7.232899E-01,0.000000E+00
00:50:00,3.592011E+04,0.000000E+00,1.853740E+00,0.000000E+00,2.213435E+04,4.414609E+03,1.142217E+00,3.406112E-01,5.465745E+04,1.441825E+03,2.820166E+00,1.112353E-01,1.172934E+05,0.000000E+00,6.038735E+00,0.000000E+00,1.316519E+04,0.000000E+00,6.791313E-01,0.000000E+00,3.233267E+04,1.336842E+02,1.668129E+00,1.031446E-02,3.953724E+04,7.648584E+03,2.039506E+00,5.901028E-01,1.070600E+05,0.000000E+00,5.512304E+00,0.000000E+00,9.708756E+03,0.000000E+00,5.009210E-01,0.000000E+00,1.521969E+04,0.000000E+00,7.853924E-01,0.000000E+00,2.035060E+04,1.717663E+04,1.050168E+00,1.325172E+00,3.831971E+04,1.808627E+03,1.977578E+00,1.395344E-01,1.094886E+05,0.000000E+00,5.637415E+00,0.000000E+00,1.057457E+04,0.000000E+00,5.455935E-01,0.000000E+00,1.401624E+04,0.000000E+00,7.232907E-01,0.000000E+00
01:00:00,3.592013E+04,0.000000E+00,1.853741E+00,0.000000E+00,2.213440E+04,4.489009E+03,1.142219E+00,3.463496E-01,5.465754E+04,1.407554E+03,2.820171E+00,1.085913E-01,1.172934E+05,0.000000E+00,6.038736E+00,0.000000E+00,1.316521E+04,0.000000E+00,6.791321E-01,0.000000E+00,3.233271E+04,1.189787E+02,1.668132E+00,9.178948E-03,3.953729E+04,7.609623E+03,2.039509E+00,5.870962E-01,1.070600E+05,0.000000E+00,5.512305E+00,0.000000E+00,9.708760E+03,0.000000E+00,5.009212E-01,0.000000E+00,1.521969E+04,0.000000E+00,7.853926E-01,0.000000E+00,2.035062E+04,1.717527E+04,1.050170E+00,1.325066E+00,3.831977E+04,1.820496E+03,1.977581E+00,1.404501E-01,1.094887E+05,0.000000E+00,5.637416E+00,0.000000E+00,1.057458E+04,0.000000E+00,5.455940E-01,0.000000E+00,1.401625E+04,4.276967E+00,7.232915E-01,3.303339E-04
01:10:00,3.592015E+04,0.000000E+00,1.853742E+00,0.000000E+00,2.213444E+04,4.475483E+03,1.142222E+00,3.453039E-01,5.465763E+04,1.346208E+03,2.820176E+00,1.038585E-01,1.172934E+05,0.000000E+00,6.038737E+00,0.000000E+00,1.316522E+04,0.000000E+00,6.791328E-01,0.000000E+00,3.233276E+04,1.106572E+02,1.668134E+00,8.536964E-03,3.953735E+04,7.577800E+03,2.039512E+00,5.846402E-01,1.070600E+05,0.000000E+00,5.512305E+00,0.000000E+00,9.708763E+03,0.000000E+00,5.009214E-01,0.000000E+00,1.521969E+04,0.000000E+00,7.853928E-01,0.000000E+00,2.035064E+04,1.716904E+04,1.050170E+00,1.324584E+00,3.831982E+04,1.804931E+03,1.977584E+00,1.392491E-01,1.094887E+05,0.000000E+00,5.637417E+00,0.000000E+00,1.057459E+04,0.000000E+00,5.455945E-01,0.000000E+00,1.401627E+04,3.528416E+01,7.232922E-01,2.722469E-03
01:20:00,3.592017E+04,0.000000E+00,1.853743E+00,0.000000E+00,2.213449E+04,4.462557E+03,1.142224E+00,3.443035E-01,5.465772E+04,1.281865E+03,2.820180E+00,9.889437E-02,1.172934E+05,0.000000E+00,6.038738E+00,0.000000E+00,1.316524E+04,0.000000E+00,6.791336E-01,0.000000E+00,3.233281E+04,9.828619E+01,1.668137E+00,7.582564E-03,3.953741E+04,7.545833E+03,2.039515E+00,5.821733E-01,1.070600E+05,0.000000E+00,5.512305E+00,0.000000E+00,9.708766E+03,0.000000E+00,5.009215E-01,0.000000E+00,1.521970E+04,0.000000E+00,7.853929E-01,0.000000E+00,2.035065E+04,1.716066E+04,1.050171E+00,1.323936E+00,3.831987E+04,1.785609E+03,1.977587E+00,1.377584E-01,1.094887E+05,0.000000E+00,5.637418E+00,0.000000E+00,1.057460E+04,0.000000E+00,5.455950E-01,0.000000E+00,1.401628E+04,5.953734E+01,7.232930E-01,4.593550E-03
01:30:00,3.592019E+04,0.000000E+00,1.853744E+00,0.000000E+00,2.213453E+04,4.449253E+03,1.142226E+00,3.432742E-01,5.465780E+04,1.215113E+03,2.820184E+00,9.374442E-02,1.172935E+05,0.000000E+00,6.038740E+00,0.000000E+00,1.316525E+04,0.000000E+00,6.791343E-01,0.000000E+00,3.233285E+04,8.183356E+01,1.668139E+00,6.313280E-03,3.953747E+04,7.513810E+03,2.039518E+00,5.797021E-01,1.070600E+05,0.000000E+00,5.512305E+00,0.000000E+00,9.708769E+03,0.000000E+00,5.009217E-01,0.000000E+00,1.521970E+04,0.000000E+00,7.853930E-01,0.000000E+00,2.035066E+04,1.715023E+04,1.050172E+00,1.323131E+00,3.831992E+04,1.762888E+03,1.977589E+00,1.360053E-01,1.094887E+05,0.000000E+00,5.637419E+00,0.000000E+00,1.057461E+04,0.000000E+00,5.455955E-01,0.000000E+00,1.401630E+04,9.390038E+01,7.232937E-01,7.244583E-03
01:40:00,3.592020E+04,0.000000E+00,1.853745E+00,0.000000E+00,2.213457E+04,4.435604E+03,1.142228E+00,3.422186E-01,5.465788E+04,1.146646E+03,2.820188E+00,8.846217E-02,1.172935E+05,0.000000E+00,6.038741E+00,0.000000E+00,1.316526E+04,0.000000E+00,6.791349E-01,0.000000E+00,3.233289E+04,6.388407E+01,1.668141E+00,4.928516E-03,3.953752E+04,7.481832E+03,2.039521E+00,5.772345E-01,1.070600E+05,0.000000E+00,5.512306E+00,0.000000E+00,9.708772E+03,0.000000E+00,5.009218E-01,0.000000E+00,1.521970E+04,0.000000E+00,7.853932E-01,0.000000E+00,2.035068E+04,1.713794E+04,1.050172E+00,1.322182E+00,3.831997E+04,1.737303E+03,1.977592E+00,1.340313E-01,1.094887E+05,0.000000E+00,5.637419E+00,0.000000E+00,1.057462E+04,0.000000E+00,5.455960E-01,0.000000E+00,1.401631E+04,1.333478E+02,7.232944E-01,1.028787E-02
