Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.647833E+04,0.000000E+00,1.366528E+00,0.000000E+00,2.064893E+04,9.064846E+03,1.065626E+00,6.995700E-01,3.722929E+04,8.076108E+03,1.921115E+00,6.231830E-01,7.121826E+04,0.000000E+00,3.669872E+00,0.000000E+00,8.837519E+03,7.054049E+02,4.559648E-01,5.442735E-02,1.965269E+04,3.965978E+03,1.014086E+00,3.059969E-01,3.080342E+04,1.414984E+04,1.589261E+00,1.091956E+00,6.515727E+04,0.000000E+00,3.357756E+00,0.000000E+00,6.808759E+03,0.000000E+00,3.513364E-01,0.000000E+00,1.040089E+04,0.000000E+00,5.367619E-01,0.000000E+00,1.881994E+04,2.121435E+04,9.712380E-01,1.636863E+00,2.755968E+04,7.272311E+03,1.422336E+00,5.611226E-01,6.662386E+04,0.000000E+00,3.433335E+00,0.000000E+00,7.324163E+03,6.257920E+02,3.779316E-01,4.828305E-02,8.844885E+03,1.795261E+03,4.564623E-01,1.386022E-01
00:20:00,2.647835E+04,0.000000E+00,1.366529E+00,0.000000E+00,2.064896E+04,8.979494E+03,1.065628E+00,6.929681E-01,3.722936E+04,7.999096E+03,1.921119E+00,6.172396E-01,7.121828E+04,0.000000E+00,3.669873E+00,0.000000E+00,8.837529E+03,6.807852E+02,4.559653E-01,5.252795E-02,1.965272E+04,3.948584E+03,1.014087E+00,3.046563E-01,3.080345E+04,1.404437E+04,1.589263E+00,1.083821E+00,6.515727E+04,0.000000E+00,3.357756E+00,0.000000E+00,6.808762E+03,0.000000E+00,3.513365E-01,0.000000E+00,1.040089E+04,0.000000E+00,5.367620E-01,0.000000E+00,1.881995E+04,2.113590E+04,9.712384E-01,1.630808E+00,2.755972E+04,7.250520E+03,1.422338E+00,5.594384E-01,6.662387E+04,0.000000E+00,3.433336E+00,0.000000E+00,7.324170E+03,6.075015E+02,3.779319E-01,4.687200E-02,8.844894E+03,1.729517E+03,4.564628E-01,1.334343E-01
00:30:00,2.647836E+04,0.000000E+00,1.366530E+00,0.000000E+00,2.064898E+04,8.894470E+03,1.065629E+00,6.863927E-01,3.722943E+04,7.918034E+03,1.921122E+00,6.109832E-01,7.121829E+04,0.000000E+00,3.669873E+00,0.000000E+00,8.837539E+03,6.553573E+02,4.559659E-01,5.056611E-02,1.965276E+04,3.919459E+03,1.014089E+00,3.024102E-01,3.080348E+04,1.393449E+04,1.589265E+00,1.075344E+00,6.515727E+04,0.000000E+00,3.357756E+00,0.000000E+00,6.808764E+03,0.000000E+00,3.513366E-01,0.000000E+00,1.040090E+04,0.000000E+00,5.367621E-01,0.000000E+00,1.881996E+04,2.105631E+04,9.712388E-01,1.624666E+00,2.755975E+04,7.222173E+03,1.422340E+00,5.572482E-01,6.662388E+04,0.000000E+00,3.433336E+00,0.000000E+00,7.324176E+03,5.886481E+02,3.779322E-01,4.541748E-02,8.844903E+03,1.823637E+03,4.564633E-01,1.406950E-01
00:40:00,2.647838E+04,0.000000E+00,1.366531E+00,0.000000E+00,2.064900E+04,8.810283E+03,1.065630E+00,6.798825E-01,3.722949E+04,7.833576E+03,1.921125E+00,6.044645E-01,7.121831E+04,0.000000E+00,3.669874E+00,0.000000E+00,8.837549E+03,6.292988E+02,4.559664E-01,4.855552E-02,1.965279E+04,3.886151E+03,1.014090E+00,2.998413E-01,3.080351E+04,1.382113E+04,1.589266E+00,1.066597E+00,6.515728E+04,0.000000E+00,3.357756E+00,0.000000E+00,6.808766E+03,0.000000E+00,3.513367E-01,0.000000E+00,1.040090E+04,0.000000E+00,5.367623E-01,0.000000E+00,1.881997E+04,2.097590E+04,9.712392E-01,1.618459E+00,2.755979E+04,7.188095E+03,1.422342E+00,5.546158E-01,6.662389E+04,0.000000E+00,3.433336E+00,0.000000E+00,7.324182E+03,5.693313E+02,3.779326E-01,4.392715E-02,8.844912E+03,1.884407E+03,4.564637E-01,1.453839E-01
00:50:00,2.647839E+04,0.000000E+00,1.366531E+00,0.000000E+00,2.064902E+04,8.727272E+03,1.065631E+00,6.734632E-01,3.722955E+04,7.747001E+03,1.921128E+00,5.977822E-01,7.121832E+04,0.000000E+00,3.669875E+00,0.000000E+00,8.837558E+03,6.027744E+02,4.559668E-01,4.650894E-02,1.965281E+04,3.849508E+03,1.014092E+00,2.970147E-01,3.080354E+04,1.370509E+04,1.589268E+00,1.057643E+00,6.515728E+04,0.000000E+00,3.357756E+00,0.000000E+00,6.808768E+03,0.000000E+00,3.513368E-01,0.000000E+00,1.040090E+04,0.000000E+00,5.367624E-01,0.000000E+00,1.881997E+04,2.089489E+04,9.712396E-01,1.612207E+00,2.755983E+04,7.149033E+03,1.422344E+00,5.515991E-01,6.662390E+04,0.000000E+00,3.433337E+00,0.000000E+00,7.324188E+03,5.496193E+02,3.779329E-01,4.240627E-02,8.844921E+03,1.927074E+03,4.564642E-01,1.486761E-01
01:00:00,2.647840E+04,0.000000E+00,1.366532E+00,0.000000E+00,2.064904E+04,8.645678E+03,1.065632E+00,6.671532E-01,3.722961E+04,7.658239E+03,1.921131E+00,5.909308E-01,7.121833E+04,0.000000E+00,3.669876E+00,0.000000E+00,8.837567E+03,5.759266E+02,4.559673E-01,4.443735E-02,1.965284E+04,3.810298E+03,1.014093E+00,2.939899E-01,3.080357E+04,1.358701E+04,1.589270E+00,1.048529E+00,6.515728E+04,0.000000E+00,3.357757E+00,0.000000E+00,6.808770E+03,0.000000E+00,3.513369E-01,0.000000E+00,1.040090E+04,0.000000E+00,5.367625E-01,0.000000E+00,1.881998E+04,2.081351E+04,9.712399E-01,1.605925E+00,2.755986E+04,7.105678E+03,1.422345E+00,5.482511E-01,6.662390E+04,0.000000E+00,3.433337E+00,0.000000E+00,7.324194E+03,5.296336E+02,3.779332E-01,4.086425E-02,8.844930E+03,1.963825E+03,4.564646E-01,1.515117E-01
01:10:00,2.647842E+04,0.000000E+00,1.366533E+00,0.000000E+00,2.064907E+04,8.570192E+03,1.065633E+00,6.613145E-01,3.722967E+04,7.569666E+03,1.921134E+00,5.840942E-01,7.121835E+04,0.000000E+00,3.669876E+00,0.000000E+00,8.837576E+03,5.493265E+02,4.559678E-01,4.238485E-02,1.965287E+04,3.771749E+03,1.014095E+00,2.910160E-01,3.080361E+04,1.347605E+04,1.589271E+00,1.039966E+00,6.515729E+04,0.000000E+00,3.357757E+00,0.000000E+00,6.808772E+03,0.000000E+00,3.513371E-01,0.000000E+00,1.040090E+04,0.000000E+00,5.367626E-01,0.000000E+00,1.881999E+04,2.073360E+04,9.712405E-01,1.599757E+00,2.755989E+04,7.060526E+03,1.422347E+00,5.447646E-01,6.662391E+04,0.000000E+00,3.433338E+00,0.000000E+00,7.324201E+03,5.097729E+02,3.779335E-01,3.933186E-02,8.844939E+03,1.997892E+03,4.564651E-01,1.541403E-01
01:20:00,2.647843E+04,0.000000E+00,1.366533E+00,0.000000E+00,2.064909E+04,8.496085E+03,1.065635E+00,6.555817E-01,3.722973E+04,7.480969E+03,1.921137E+00,5.772479E-01,7.121836E+04,0.000000E+00,3.669877E+00,0.000000E+00,8.837585E+03,5.230981E+02,4.559682E-01,4.036101E-02,1.965290E+04,3.733182E+03,1.014096E+00,2.880406E-01,3.080365E+04,1.336539E+04,1.589273E+00,1.031424E+00,6.515729E+04,0.000000E+00,3.357757E+00,0.000000E+00,6.808775E+03,0.000000E+00,3.513372E-01,0.000000E+00,1.040091E+04,0.000000E+00,5.367627E-01,0.000000E+00,1.882000E+04,2.065404E+04,9.712410E-01,1.593617E+00,2.755993E+04,7.013070E+03,1.422349E+00,5.411002E-01,6.662392E+04,0.000000E+00,3.433338E+00,0.000000E+00,7.324207E+03,4.901175E+02,3.779338E-01,3.781529E-02,8.844948E+03,2.028956E+03,4.564656E-01,1.565373E-01
01:30:00,2.647844E+04,0.000000E+00,1.366534E+00,0.000000E+00,2.064912E+04,8.421936E+03,1.065636E+00,6.498476E-01,3.722978E+04,7.392470E+03,1.921140E+00,5.704173E-01,7.121838E+04,0.000000E+00,3.669878E+00,0.000000E+00,8.837594E+03,4.973516E+02,4.559687E-01,3.837436E-02,1.965292E+04,3.694983E+03,1.014098E+00,2.850935E-01,3.080368E+04,1.325527E+04,1.589275E+00,1.022926E+00,6.515729E+04,0.000000E+00,3.357757E+00,0.000000E+00,6.808777E+03,0.000000E+00,3.513373E-01,0.000000E+00,1.040091E+04,0.000000E+00,5.367628E-01,0.000000E+00,1.882001E+04,2.057486E+04,9.712415E-01,1.587506E+00,2.755996E+04,6.963605E+03,1.422351E+00,5.372812E-01,6.662393E+04,0.000000E+00,3.433339E+00,0.000000E+00,7.324213E+03,4.707283E+02,3.779341E-01,3.631925E-02,8.844956E+03,2.057627E+03,4.564660E-01,1.587496E-01
01:40:00,2.647845E+04,0.000000E+00,1.366535E+00,0.000000E+00,2.064915E+04,8.347576E+03,1.065637E+00,6.440998E-01,3.722983E+04,7.304627E+03,1.921143E+00,5.636375E-01,7.121839E+04,0.000000E+00,3.669878E+00,0.000000E+00,8.837602E+03,4.721838E+02,4.559691E-01,3.643235E-02,1.965295E+04,3.657462E+03,1.014099E+00,2.821986E-01,3.080371E+04,1.314594E+04,1.589277E+00,1.014487E+00,6.515730E+04,0.000000E+00,3.357757E+00,0.000000E+00,6.808779E+03,0.000000E+00,3.513374E-01,0.000000E+00,1.040091E+04,0.000000E+00,5.367628E-01,0.000000E+00,1.882002E+04,2.049619E+04,9.712421E-01,1.581434E+00,2.755999E+04,6.912569E+03,1.422352E+00,5.333413E-01,6.662394E+04,0.000000E+00,3.433339E+00,0.000000E+00,7.324218E+03,4.516578E+02,3.779344E-01,3.484779E-02,8.844965E+03,2.084388E+03,4.564665E-01,1.608145E-01
