Time,THERMAL ZONE 1:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PALERMO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PALERMO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PALERMO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PALERMO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.473188E+03,8.739999E+02,2.823955E-01,6.744524E-02,3.352886E+03,1.854963E+03,1.729887E-01,1.431705E-01
00:20:00,5.473193E+03,8.338439E+02,2.823958E-01,6.434579E-02,3.352890E+03,1.832210E+03,1.729889E-01,1.414141E-01
00:30:00,5.473198E+03,7.941098E+02,2.823960E-01,6.127894E-02,3.352893E+03,1.809865E+03,1.729891E-01,1.396884E-01
00:40:00,5.473203E+03,7.548836E+02,2.823963E-01,5.825127E-02,3.352897E+03,1.788020E+03,1.729893E-01,1.380006E-01
00:50:00,5.473207E+03,7.160539E+02,2.823965E-01,5.525419E-02,3.352900E+03,1.766419E+03,1.729895E-01,1.363311E-01
01:00:00,5.473211E+03,6.776241E+02,2.823967E-01,5.228794E-02,3.352903E+03,1.745088E+03,1.729896E-01,1.346821E-01
01:10:00,5.473215E+03,6.593042E+02,2.823969E-01,5.087352E-02,3.352906E+03,1.731656E+03,1.729898E-01,1.336427E-01
01:20:00,5.473219E+03,6.415679E+02,2.823971E-01,4.950442E-02,3.352909E+03,1.718560E+03,1.729899E-01,1.326293E-01
01:30:00,5.473222E+03,6.242849E+02,2.823973E-01,4.817037E-02,3.352912E+03,1.705686E+03,1.729901E-01,1.316337E-01
01:40:00,5.473225E+03,6.073796E+02,2.823974E-01,4.686556E-02,3.352914E+03,1.692929E+03,1.729902E-01,1.306480E-01
01:50:00,5.473228E+03,5.909203E+02,2.823976E-01,4.559526E-02,3.352917E+03,1.680568E+03,1.729903E-01,1.296933E-01
02:00:00,5.473231E+03,5.748976E+02,2.823978E-01,4.435870E-02,3.352919E+03,1.668594E+03,1.729904E-01,1.287688E-01
02:10:00,5.473234E+03,5.591596E+02,2.823979E-01,4.314417E-02,3.352921E+03,1.656945E+03,1.729905E-01,1.278696E-01
02:20:00,5.473237E+03,5.436434E+02,2.823980E-01,4.194678E-02,3.352923E+03,1.645652E+03,1.729906E-01,1.269979E-01
02:30:00,5.473239E+03,5.284623E+02,2.823982E-01,4.077527E-02,3.352925E+03,1.634742E+03,1.729907E-01,1.261557E-01
02:40:00,5.473242E+03,5.136246E+02,2.823983E-01,3.963028E-02,3.352927E+03,1.624199E+03,1.729908E-01,1.253419E-01
02:50:00,5.473244E+03,4.991471E+02,2.823984E-01,3.851310E-02,3.352928E+03,1.614027E+03,1.729909E-01,1.245568E-01
03:00:00,5.473246E+03,4.850408E+02,2.823985E-01,3.742458E-02,3.352930E+03,1.604230E+03,1.729910E-01,1.238007E-01
03:10:00,5.473248E+03,4.711718E+02,2.823986E-01,3.635438E-02,3.352931E+03,1.594737E+03,1.729911E-01,1.230681E-01
03:20:00,5.473250E+03,4.575320E+02,2.823987E-01,3.530188E-02,3.352933E+03,1.585548E+03,1.729912E-01,1.223588E-01
